"Player","Start","End","Matches","Innings","Balls","Runs","Wickets","Average","Economy","StrikeRate","BestBowlingInnings","FourWickets","FiveWickets"
"DS de Silva ",1975,1985,41,40,2076,1557,32,48.65625,4.5,64.875,"3/29",0,0
"MJ Hoggard ",2001,2006,26,26,1306,1152,32,36,5.29249617151608,40.8125,"5/49",0,1
"AJ Hollioake ",1996,1999,35,32,1208,1019,32,31.84375,5.0612582781457,37.75,"4/23",2,0
"Imran Haider ",2017,2019,20,20,943,841,32,26.28125,5.35100742311771,29.46875,"4/25",2,0
"JM Kemp ",2001,2007,85,48,1303,1015,32,31.71875,4.67382962394474,40.71875,"3/20",0,0
"KTGD Prasad ",2006,2015,24,24,1015,976,32,30.5,5.76945812807882,31.71875,"3/17",0,0
"S Prasanna ",2011,2019,40,39,1945,1767,32,55.21875,5.45089974293059,60.78125,"3/32",0,0
"Rizwan Cheema ",2008,2013,33,32,1330,1095,32,34.21875,4.93984962406015,41.5625,"3/25",0,0
"GB Troup ",1976,1985,22,22,1180,791,32,24.71875,4.02203389830508,36.875,"4/19",3,0
"DL Underwood ",1973,1982,26,24,1278,734,32,22.9375,3.44600938967136,39.9375,"4/44",1,0
"BV Vitori ",2011,2018,24,24,1193,1149,32,35.90625,5.77870913663034,37.28125,"5/20",0,2
"Arshad Ayub ",1987,1990,32,32,1769,1216,31,39.2258064516129,4.12436404748445,57.0645161290323,"5/21",0,1
"JW Dernbach ",2011,2013,24,24,1234,1308,31,42.1935483870968,6.35980551053485,39.8064516129032,"4/45",1,0
"KS Lokuarachchi ",2003,2007,21,21,1011,725,31,23.3870967741935,4.3026706231454,32.6129032258064,"4/44",1,0
"MJ Mason ",2003,2010,26,25,1179,1024,31,33.0322580645161,5.21119592875318,38.0322580645161,"4/24",1,0
"Mohammad Saifuddin ",2017,2020,22,22,993,972,31,31.3548387096774,5.87311178247734,32.0322580645161,"4/41",1,0
"MM Sharma ",2013,2015,26,25,1121,1020,31,32.9032258064516,5.45941123996432,36.1612903225806,"4/22",1,0
"DT Tiripano ",2014,2020,34,32,1358,1298,31,41.8709677419355,5.73490427098675,43.8064516129032,"5/63",0,1
"Zahoor Khan ",2017,2019,17,17,750,703,31,22.6774193548387,5.624,24.1935483870968,"6/34",0,1
"Abdur Rehman ",2006,2014,31,31,1624,1142,30,38.0666666666667,4.2192118226601,54.1333333333333,"4/48",1,0
"CEH Croft ",1977,1981,19,19,1070,620,30,20.6666666666667,3.47663551401869,35.6666666666667,"6/15",0,1
"GA Hick ",1991,2001,120,47,1236,1026,30,34.2,4.98058252427184,41.2,"5/33",0,1
"RK Illingworth ",1991,1996,25,25,1501,1059,30,35.3,4.23317788141239,50.0333333333333,"3/33",0,0
"SI Mahmood ",2004,2009,26,25,1197,1169,30,38.9666666666667,5.85964912280702,39.9,"4/50",1,0
"DA Marillier ",2000,2003,48,35,1574,1235,30,41.1666666666667,4.70775095298602,52.4666666666667,"4/38",1,0
"PR Adams ",1996,2003,24,23,1109,815,29,28.1034482758621,4.40937781785392,38.2413793103448,"3/26",0,0
"RK Chauhan ",1993,1997,35,34,1634,1216,29,41.9310344827586,4.46511627906977,56.3448275862069,"3/29",0,0
"MD Crowe ",1982,1995,143,46,1296,954,29,32.8965517241379,4.41666666666667,44.6896551724138,"2/9",0,0
"TBM de Leede ",1996,2007,29,29,1139,999,29,34.448275862069,5.26251097453907,39.2758620689655,"4/35",1,0
"Ehsan Khan ",2016,2018,15,15,807,594,29,20.4827586206897,4.41635687732342,27.8275862068966,"4/33",1,0
"Hasibul Hossain ",1995,2004,32,32,1375,1338,29,46.1379310344828,5.83854545454545,47.4137931034483,"4/56",1,0
"BW Hilfenhaus ",2007,2012,25,25,1216,1075,29,37.0689655172414,5.30427631578947,41.9310344827586,"5/33",0,1
"NM Lyon ",2012,2019,29,29,1626,1334,29,46,4.92250922509225,56.0689655172414,"4/44",1,0
"Manzoor Elahi ",1984,1995,54,49,1743,1262,29,43.5172413793103,4.34423407917384,60.1034482758621,"3/22",0,0
"BA Murphy ",2000,2003,31,29,1422,1130,29,38.9655172413793,4.76793248945148,49.0344827586207,"3/43",0,0
"D Pretorius ",2016,2019,22,22,1022,813,29,28.0344827586207,4.77299412915851,35.2413793103448,"3/5",0,0
"FA Rose ",1997,2000,27,27,1326,1046,29,36.0689655172414,4.73303167420814,45.7241379310345,"5/23",0,1
"RJ Sidebottom ",2001,2010,25,25,1277,1039,29,35.8275862068966,4.88175411119812,44.0344827586207,"3/19",0,0
"CM Wright ",2006,2009,20,19,861,663,29,22.8620689655172,4.62020905923345,29.6896551724138,"4/29",1,0
"IG Butler ",2002,2010,26,25,1109,1038,28,37.0714285714286,5.61587015329125,39.6071428571429,"4/44",1,0
"WW Hinds ",1999,2010,119,34,945,837,28,29.8928571428571,5.31428571428571,33.75,"3/24",0,0
"BMAJ Mendis ",2010,2019,58,49,1404,1204,28,43,5.14529914529915,50.1428571428571,"3/15",0,0
"SPD Smith ",2010,2020,125,40,1076,971,28,34.6785714285714,5.41449814126394,38.4285714285714,"3/16",0,0
"CA Young ",2014,2020,14,13,711,620,28,22.1428571428571,5.23206751054852,25.3928571428571,"5/46",0,1
"Ata-ur-Rehman ",1992,1996,30,30,1492,1186,27,43.9259259259259,4.76943699731904,55.2592592592593,"3/27",0,0
"TK Curran ",2017,2020,20,20,870,894,27,33.1111111111111,6.16551724137931,32.2222222222222,"5/35",1,1
"C de Grandhomme ",2012,2020,42,42,1458,1180,27,43.7037037037037,4.8559670781893,54,"3/26",0,0
"PW Gunaratne ",2002,2003,23,23,959,908,27,33.6296296296296,5.68091762252346,35.5185185185185,"4/44",1,0
"KM Jadhav ",2014,2020,73,42,1187,1020,27,37.7777777777778,5.1558550968829,43.962962962963,"3/23",0,0
"AY Karim ",1996,2003,34,33,1568,1114,27,41.2592592592593,4.26275510204082,58.0740740740741,"5/33",0,1
"AJ McKay ",2010,2012,19,19,926,800,27,29.6296296296296,5.18358531317495,34.2962962962963,"4/53",2,0
"PJ Martin ",1995,1998,20,20,1048,806,27,29.8518518518519,4.61450381679389,38.8148148148148,"4/44",1,0
"RAP Nissanka ",2001,2003,23,23,997,857,27,31.7407407407407,5.15747241725176,36.9259259259259,"4/12",1,0
"O Thomas ",2018,2020,20,19,771,866,27,32.0740740740741,6.73929961089494,28.5555555555556,"5/21",1,1
"A Vala ",2014,2019,27,26,1038,648,27,24,3.74566473988439,38.4444444444444,"3/20",0,0
"PH Edmonds ",1977,1987,29,27,1534,965,26,37.1153846153846,3.77444589308996,59,"3/39",0,0
"AP Gurusinha ",1985,1996,147,55,1585,1354,26,52.0769230769231,5.12555205047319,60.9615384615385,"2/25",0,0
"LN Onyango ",1996,2014,29,28,995,981,26,37.7307692307692,5.91557788944724,38.2692307692308,"3/29",0,0
"AM Phangiso ",2013,2016,21,21,1085,829,26,31.8846153846154,4.58433179723502,41.7307692307692,"3/40",0,0
"T Shamsi ",2016,2020,22,21,1119,993,26,38.1923076923077,5.32439678284182,43.0384615384615,"4/33",1,0
"DN Crookes ",1994,2000,32,30,1221,1011,25,40.44,4.96805896805897,48.84,"3/30",0,0
"GD Drummond ",2007,2013,30,29,1263,932,25,37.28,4.42755344418052,50.52,"4/41",1,0
"LM Jongwe ",2014,2016,22,22,863,759,25,30.36,5.27694090382387,34.52,"5/6",0,1
"A Kuruvilla ",1997,1997,25,25,1131,890,25,35.6,4.72148541114058,45.24,"4/43",1,0
"D Langford-Smith ",2006,2008,22,21,942,797,25,31.88,5.07643312101911,37.68,"3/32",0,0
"SW Masakadza ",2010,2014,16,16,791,891,25,35.64,6.75853350189633,31.64,"4/46",3,0
"G Miller ",1977,1984,25,24,1268,813,25,32.52,3.84700315457413,50.72,"3/27",0,0
"CA Soper ",2016,2019,20,20,900,733,25,29.32,4.88666666666667,36,"6/41",0,1
"K Srikkanth ",1981,1992,146,33,712,641,25,25.64,5.40168539325843,28.48,"5/27",0,2
"AR White ",2006,2014,61,35,869,688,25,27.52,4.75028768699655,34.76,"4/44",1,0
"KIW Wijegunawardene ",1988,1992,26,25,1186,986,25,39.44,4.98819561551433,47.44,"4/49",1,0
"Alok Kapali ",2002,2011,69,49,1452,1255,24,52.2916666666667,5.18595041322314,60.5,"3/49",0,0
"Arafat Sunny ",2014,2015,16,16,830,600,24,25,4.33734939759036,34.5833333333333,"4/27",2,0
"ID Blackwell ",2002,2006,34,26,1230,877,24,36.5416666666667,4.27804878048781,51.25,"3/26",0,0
"Harvinder Singh ",1997,2001,16,16,686,609,24,25.375,5.3265306122449,28.5833333333333,"3/44",0,0
"RC Irani ",1996,2003,31,30,1283,989,24,41.2083333333333,4.62509742790335,53.4583333333333,"5/26",1,1
"PW Jarvis ",1988,1993,16,16,879,672,24,28,4.58703071672355,36.625,"5/35",1,1
"MBS Jonkman ",2006,2010,16,16,719,565,24,23.5416666666667,4.71488178025035,29.9583333333333,"3/24",0,0
"JK Lever ",1976,1982,22,22,1152,713,24,29.7083333333333,3.71354166666667,48,"4/29",1,0
"Manjural Islam ",1999,2003,34,34,1591,1284,24,53.5,4.84223758642363,66.2916666666667,"3/37",0,0
"Nasir Hossain ",2011,2018,65,43,1256,988,24,41.1666666666667,4.71974522292994,52.3333333333333,"3/26",0,0
"MS Panesar ",2007,2007,26,26,1308,980,24,40.8333333333333,4.4954128440367,54.5,"3/25",0,0
"SR Patel ",2008,2013,36,32,1187,1091,24,45.4583333333333,5.51474304970514,49.4583333333333,"5/41",0,1
"KR Pushpakumara ",1994,1999,31,31,1430,1181,24,49.2083333333333,4.95524475524476,59.5833333333333,"3/25",0,0
"JA Richardson ",2018,2020,13,13,708,690,24,28.75,5.84745762711864,29.5,"4/26",1,0
"JE Root ",2013,2020,146,67,1504,1445,24,60.2083333333333,5.76462765957447,62.6666666666667,"3/52",0,0
"Yasir Shah ",2011,2019,25,24,1293,1150,24,47.9166666666667,5.33642691415313,53.875,"6/26",1,1
"Aizaz Cheema ",2011,2012,14,14,658,593,23,25.7826086956522,5.40729483282675,28.6086956521739,"4/43",2,0
"JC Archer ",2019,2019,14,14,737,569,23,24.7391304347826,4.63229308005427,32.0434782608696,"3/27",0,0
"DAJ Bracewell ",2011,2019,19,19,932,798,23,34.695652173913,5.13733905579399,40.5217391304348,"4/55",1,0
"NG Cowans ",1983,1985,23,23,1282,913,23,39.695652173913,4.27301092043682,55.7391304347826,"3/44",0,0
"KM Dabengwa ",2005,2010,37,35,1109,936,23,40.695652173913,5.06402164111812,48.2173913043478,"3/15",0,0
"WW Daniel ",1978,1984,18,18,912,595,23,25.8695652173913,3.91447368421053,39.6521739130435,"3/27",0,0
"SR Gillespie ",1986,1988,19,19,963,736,23,32,4.58566978193146,41.8695652173913,"4/30",1,0
"G Goudie ",2008,2013,16,16,729,623,23,27.0869565217391,5.12757201646091,31.695652173913,"5/73",0,1
"ND Hirwani ",1988,1992,18,18,960,719,23,31.2608695652174,4.49375,41.7391304347826,"4/43",3,0
"TG Hogan ",1983,1984,16,15,917,574,23,24.9565217391304,3.75572519083969,39.8695652173913,"4/33",1,0
"KAD Hurdle ",2006,2007,19,19,905,831,23,36.1304347826087,5.50939226519337,39.3478260869565,"3/24",0,0
"S Lamichhane ",2018,2020,10,10,535,375,23,16.304347826087,4.20560747663551,23.2608695652174,"6/16",2,1
"Manjural Islam Rana ",2003,2006,25,23,996,689,23,29.9565217391304,4.15060240963855,43.304347826087,"4/34",2,0
"S Mukuddem ",2006,2007,20,20,960,752,23,32.695652173913,4.7,41.7391304347826,"4/40",1,0
"KMA Paul ",2018,2020,19,19,874,881,23,38.304347826087,6.04805491990847,38,"3/44",0,0
"J Theron ",2010,2020,13,12,592,521,23,22.6521739130435,5.28040540540541,25.7391304347826,"5/44",0,1
"BTJ Wheal ",2016,2019,13,13,687,508,23,22.0869565217391,4.43668122270742,29.8695652173913,"3/34",0,0
"Al-Amin Hossain ",2014,2020,15,15,663,608,22,27.6363636363636,5.50226244343891,30.1363636363636,"4/51",2,0
"DR Brown ",1997,2007,25,25,953,919,22,41.7727272727273,5.78593913955929,43.3181818181818,"3/37",0,0
"DM de Silva ",2016,2020,45,37,1076,928,22,42.1818181818182,5.17472118959108,48.9090909090909,"3/32",0,0
"DR Doshi ",1980,1982,15,15,792,524,22,23.8181818181818,3.96969696969697,36,"4/30",2,0
"Farhad Reza ",2006,2011,34,32,1139,1017,22,46.2272727272727,5.35733099209833,51.7727272727273,"5/42",0,1
"DAS Gunaratne ",2016,2019,31,25,834,723,22,32.8636363636364,5.20143884892086,37.9090909090909,"3/10",0,0
"BP Julian ",1993,1999,25,25,1146,997,22,45.3181818181818,5.21989528795812,52.0909090909091,"3/40",0,0
"RN Lewis ",1997,2009,28,25,1150,983,22,44.6818181818182,5.12869565217391,52.2727272727273,"3/43",0,0
"ML Nkala ",1998,2006,50,46,1582,1570,22,71.3636363636364,5.95448798988622,71.9090909090909,"3/12",0,0
"E Otieno ",2007,2014,26,25,954,927,22,42.1363636363636,5.83018867924528,43.3636363636364,"4/33",1,0
"MW Pringle ",1992,1994,17,17,870,604,22,27.4545454545455,4.16551724137931,39.5454545454545,"4/11",1,0
"SK Sharma ",1988,1990,23,22,979,813,22,36.9545454545455,4.9826353421859,44.5,"5/26",0,1
"Sohag Gazi ",2012,2014,20,19,919,722,22,32.8181818181818,4.71381936887922,41.7727272727273,"4/29",1,0
"WF Stelling ",2006,2007,15,15,699,567,22,25.7727272727273,4.86695278969957,31.7727272727273,"3/12",0,0
"JT Ball ",2016,2018,18,18,947,980,21,46.6666666666667,6.2090813093981,45.0952380952381,"5/51",0,1
"DH Brain ",1992,1995,23,23,1091,849,21,40.4285714285714,4.66911090742438,51.9523809523809,"3/51",0,0
"AC Dawson ",1998,2004,19,19,901,715,21,34.0476190476191,4.76137624861265,42.9047619047619,"4/49",1,0
"RMS Eranga ",2011,2016,19,17,716,686,21,32.6666666666667,5.74860335195531,34.0952380952381,"3/46",0,0
"CN Evans ",1992,2002,53,34,964,848,21,40.3809523809524,5.27800829875519,45.9047619047619,"3/11",0,0
"M Hayward ",1998,2002,21,21,993,858,21,40.8571428571429,5.18429003021148,47.2857142857143,"4/31",1,0
"NB Mahwire ",2004,2006,23,21,885,775,21,36.9047619047619,5.25423728813559,42.1428571428571,"3/29",0,0
"WP Masakadza ",2015,2018,17,16,859,734,21,34.9523809523809,5.12689173457509,40.9047619047619,"4/21",1,0
"Mohsin Kamal ",1984,1989,19,19,881,760,21,36.1904761904762,5.17593643586833,41.9523809523809,"4/47",1,0
"PP Ojha ",2008,2012,18,17,876,652,21,31.047619047619,4.46575342465753,41.7142857142857,"4/38",1,0
"AO Suji ",1996,2008,60,46,1295,1175,21,55.9523809523809,5.44401544401544,61.6666666666667,"2/14",0,0
"Wasim Raja ",1973,1985,54,29,1036,687,21,32.7142857142857,3.97876447876448,49.3333333333333,"4/25",1,0
"MH Yardy ",2006,2011,28,28,1332,1075,21,51.1904761904762,4.84234234234234,63.4285714285714,"3/24",0,0
"Kabir Ali ",2003,2006,14,13,673,682,20,34.1,6.08023774145617,33.65,"4/45",1,0
"STR Binny ",2014,2015,14,12,490,439,20,21.95,5.37551020408163,24.5,"6/4",0,1
"TS Chisoro ",2015,2018,18,16,768,556,20,27.8,4.34375,38.4,"3/16",0,0
"DT Christian ",2012,2014,19,19,727,595,20,29.75,4.91059147180193,36.35,"5/31",0,1
"Faheem Ashraf ",2017,2019,23,22,902,744,20,37.2,4.9490022172949,45.1,"5/22",0,1
"DR Hadlee ",1973,1976,11,11,628,364,20,18.2,3.47770700636943,31.4,"4/34",1,0
"A Jadeja ",1992,2000,196,52,1248,1094,20,54.7,5.25961538461539,62.4,"3/3",0,0
"RT Lyons ",2006,2010,25,23,1093,901,20,45.05,4.94602012808783,54.65,"3/21",0,0
"N Madziva ",2014,2016,12,12,520,519,20,25.95,5.98846153846154,26,"4/49",1,0
"JO Ngoche ",2010,2013,17,17,878,569,20,28.45,3.88838268792711,43.9,"3/18",0,0
"NO Perry ",1999,2000,21,21,946,783,20,39.15,4.9661733615222,47.3,"3/45",0,0
"N Pokana ",2017,2019,14,14,641,503,20,25.15,4.70826833073323,32.05,"3/25",0,0
"Rashid Khan ",1980,1985,29,28,1414,923,20,46.15,3.91654879773692,70.7,"3/47",0,0
"DA Reeve ",1991,1996,29,28,1147,820,20,41,4.28945074106364,57.35,"3/20",0,0
"PADLR Sandakan ",2016,2020,24,23,1076,1161,20,58.05,6.47397769516729,53.8,"4/52",1,0
"Shoaib Mohammad ",1984,1993,63,35,919,725,20,36.25,4.73340587595212,45.95,"3/20",0,0
"RML Taylor ",2013,2016,15,15,713,617,20,30.85,5.19214586255259,35.65,"3/39",0,0
"MHN Walker ",1974,1981,17,17,1006,546,20,27.3,3.25646123260437,50.3,"4/19",1,0
"Zeeshan Maqsood ",2019,2020,11,11,577,345,20,17.25,3.58752166377816,28.85,"4/15",1,0
"GG Arnold ",1972,1975,14,13,714,339,19,17.8421052631579,2.84873949579832,37.5789473684211,"4/27",1,0
"PVD Chameera ",2015,2019,23,23,895,796,19,41.8947368421053,5.33631284916201,47.1052631578947,"3/20",0,0
"TM Chappell ",1980,1983,20,14,736,538,19,28.3157894736842,4.38586956521739,38.7368421052632,"3/31",0,0
"Enamul Haque ",1990,2002,29,28,1238,1083,19,57,5.24878836833603,65.1578947368421,"2/40",0,0
"AW Greig ",1972,1977,22,19,916,619,19,32.5789473684211,4.05458515283843,48.2105263157895,"4/45",1,0
"VA Holder ",1973,1978,12,12,681,454,19,23.8947368421053,4,35.8421052631579,"5/50",0,1
"RD Jackman ",1974,1983,15,15,873,598,19,31.4736842105263,4.10996563573883,45.9473684210526,"3/41",0,0
"DS Kulkarni ",2014,2016,12,12,598,508,19,26.7368421052632,5.09698996655518,31.4736842105263,"4/34",1,0
"MA Leask ",2014,2019,34,31,1142,1019,19,53.6315789473684,5.35376532399299,60.1052631578947,"4/37",1,0
"BJ McKechnie ",1975,1981,14,14,818,495,19,26.0526315789474,3.63080684596577,43.0526315789474,"3/23",0,0
"JN Maguire ",1983,1984,23,20,1009,769,19,40.4736842105263,4.57284440039643,53.1052631578947,"3/61",0,0
"Mohammad Akram ",1995,2000,23,21,989,790,19,41.5789473684211,4.79271991911021,52.0526315789474,"2/28",0,0
"Mushfiqur Rahman ",2000,2004,28,28,1332,983,19,51.7368421052632,4.42792792792793,70.1052631578947,"2/21",0,0
"SN Netravalkar ",2019,2020,13,12,583,317,19,16.6842105263158,3.26243567753002,30.6842105263158,"5/32",0,1
"PDRL Perera ",1999,2007,19,19,888,820,19,43.1578947368421,5.54054054054054,46.7368421052632,"3/23",0,0
"Shahid Nazir ",1996,2000,17,17,810,649,19,34.1578947368421,4.80740740740741,42.6315789473684,"3/14",0,0
"M Sheikh ",1997,2000,21,21,778,625,19,32.8947368421053,4.82005141388175,40.9473684210526,"4/36",1,0
"Sohail Khan ",2008,2016,13,13,666,597,19,31.4210526315789,5.37837837837838,35.0526315789474,"5/55",0,1
"Tanwir Afzal ",2014,2018,20,19,852,601,19,31.6315789473684,4.23239436619718,44.8421052631579,"3/20",0,0
"AJ Traicos ",1983,1993,27,26,1524,987,19,51.9473684210526,3.88582677165354,80.2105263157895,"3/35",0,0
"PCR Tufnell ",1990,1997,20,20,1020,699,19,36.7894736842105,4.11176470588235,53.6842105263158,"4/22",1,0
"Anwar Ali ",2013,2016,22,22,927,944,18,52.4444444444444,6.11003236245955,51.5,"3/66",0,0
"Bilal Khan ",2019,2020,10,10,540,378,18,21,4.2,30,"4/49",1,0
"GD Campbell ",1989,1990,12,12,613,404,18,22.4444444444444,3.95432300163132,34.0555555555556,"3/17",0,0
"RO Collinge ",1973,1978,15,15,859,479,18,26.6111111111111,3.34575087310827,47.7222222222222,"5/23",0,1
"MD Dai ",2014,2018,18,18,954,675,18,37.5,4.24528301886792,53,"3/58",0,0
"DR Gilbert ",1986,1986,14,14,684,552,18,30.6666666666667,4.84210526315789,38,"5/46",0,1
"DJ Hussey ",2008,2013,69,39,802,698,18,38.7777777777778,5.22194513715711,44.5555555555556,"4/21",2,0
"BD Julien ",1973,1977,12,12,778,463,18,25.7222222222222,3.5706940874036,43.2222222222222,"4/20",2,0
"AP Kuiper ",1991,1996,25,19,588,518,18,28.7777777777778,5.28571428571429,32.6666666666667,"3/33",0,0
"J Lewis ",2005,2007,13,13,716,500,18,27.7777777777778,4.18994413407821,39.7777777777778,"4/36",1,0
"CS Martin ",2001,2008,20,19,948,804,18,44.6666666666667,5.08860759493671,52.6666666666667,"3/62",0,0
"Mohammad Ashraful ",2001,2013,177,40,697,661,18,36.7222222222222,5.69010043041607,38.7222222222222,"3/26",0,0
"B Muzarabani ",2018,2018,18,18,786,733,18,40.7222222222222,5.59541984732824,43.6666666666667,"4/47",1,0
"MV Nagamootoo ",2000,2002,24,24,1189,998,18,55.4444444444444,5.03616484440706,66.0555555555556,"4/32",1,0
"AH Omarshah ",1983,1996,28,25,1077,812,18,45.1111111111111,4.52367688022284,59.8333333333333,"3/33",0,0
"Rahat Ali ",2012,2016,14,14,679,658,18,36.5555555555556,5.81443298969072,37.7222222222222,"3/40",0,0
"KT Sandher ",2006,2007,15,15,696,569,18,31.6111111111111,4.9051724137931,38.6666666666667,"3/24",0,0
"Simi Singh ",2017,2020,18,15,750,499,18,27.7222222222222,3.992,41.6666666666667,"3/15",0,0
"GC Smith ",2002,2013,197,43,1026,951,18,52.8333333333333,5.56140350877193,57,"3/30",0,0
"CB Sole ",2016,2018,11,11,522,468,18,26,5.37931034482759,29,"4/28",2,0
"RE van der Merwe ",2009,2019,15,15,789,658,18,36.5555555555556,5.00380228136882,43.8333333333333,"3/27",0,0
"KC Wessels ",1983,1994,109,23,749,666,18,37,5.33511348464619,41.6111111111111,"2/16",0,0
"AG Wharf ",2004,2005,13,13,584,428,18,23.7777777777778,4.3972602739726,32.4444444444444,"4/24",1,0
"LR Williams ",1996,2001,15,15,659,556,18,30.8888888888889,5.06221547799697,36.6111111111111,"3/16",0,0
"Adeel Raja ",2002,2011,21,21,846,690,17,40.5882352941176,4.8936170212766,49.7647058823529,"4/42",1,0
"DJ Capel ",1987,1990,23,22,1038,805,17,47.3529411764706,4.65317919075145,61.0588235294118,"3/38",0,0
"EAR de Silva ",1986,1992,28,28,1374,967,17,56.8823529411765,4.22270742358079,80.8235294117647,"3/38",0,0
"PWH de Silva ",2017,2020,15,15,583,547,17,32.1764705882353,5.6295025728988,34.2941176470588,"3/15",0,0
"MV Fleming ",1997,1998,11,11,523,434,17,25.5294117647059,4.97896749521988,30.7647058823529,"4/45",1,0
"HH Kanitkar ",1997,2000,34,28,1006,803,17,47.2352941176471,4.78926441351889,59.1764705882353,"2/22",0,0
"JJC Lawson ",2001,2005,13,12,558,498,17,29.2941176470588,5.35483870967742,32.8235294117647,"4/57",1,0
"Mohammad Nawaz ",2016,2019,15,15,699,607,17,35.7058823529412,5.21030042918455,41.1176470588235,"4/42",1,0
"J Nyumbu ",2014,2015,19,18,844,738,17,43.4117647058824,5.24644549763033,49.6470588235294,"3/42",0,0
"A Shahzad ",2010,2011,11,11,588,490,17,28.8235294117647,5,34.5882352941176,"3/41",0,0
"PM Siddle ",2009,2019,20,19,901,743,17,43.7058823529412,4.94783573806881,53,"3/55",0,0
"MR Adair ",2019,2020,12,12,555,598,16,37.375,6.46486486486486,34.6875,"4/19",2,0
"Aizaz Khan ",2014,2018,19,19,728,680,16,42.5,5.6043956043956,45.5,"2/26",0,0
"Aqib Ilyas ",2019,2020,11,11,324,202,16,12.625,3.74074074074074,20.25,"4/36",1,0
"Asif Iqbal ",1973,1979,10,10,592,378,16,23.625,3.83108108108108,37,"4/56",1,0
"JP Behrendorff ",2019,2019,11,11,591,517,16,32.3125,5.24873096446701,36.9375,"5/44",0,1
"SM Boland ",2016,2016,14,13,716,725,16,45.3125,6.07541899441341,44.75,"3/67",0,0
"GR Codrington ",2006,2007,17,17,731,577,16,36.0625,4.7359781121751,45.6875,"4/33",1,0
"CD de Lange ",2016,2017,13,12,546,371,16,23.1875,4.07692307692308,34.125,"5/60",0,1
"Ehsan Nawaz ",2014,2018,12,12,513,458,16,28.625,5.35672514619883,32.0625,"4/47",2,0
"GJ Gilmour ",1974,1975,5,5,320,165,16,10.3125,3.09375,20,"6/14",0,2
"PJC Hoffmann ",2006,2007,18,17,743,555,16,34.6875,4.48183041722746,46.4375,"3/22",0,0
"SHU Karnain ",1984,1990,19,14,635,505,16,31.5625,4.77165354330709,39.6875,"5/26",0,1
"DE Malcolm ",1990,1994,10,10,526,404,16,25.25,4.60836501901141,32.875,"3/40",0,0
"S Matsikenyeri ",2002,2015,113,38,920,778,16,48.625,5.07391304347826,57.5,"2/25",0,0
"JL Pattinson ",2011,2015,15,15,727,681,16,42.5625,5.62035763411279,45.4375,"4/51",1,0
"BS Sandhu ",1982,1984,22,21,1110,763,16,47.6875,4.12432432432432,69.375,"3/27",0,0
"RR Sarwan ",2000,2013,181,25,581,586,16,36.625,6.05163511187608,36.3125,"3/31",0,0
"MC Sorensen ",2013,2016,13,12,543,520,16,32.5,5.74585635359116,33.9375,"4/40",1,0
"RJW Topley ",2015,2016,10,10,463,410,16,25.625,5.31317494600432,28.9375,"4/50",1,0
"RJ Trott ",2007,2009,11,11,537,412,16,25.75,4.60335195530726,33.5625,"4/46",1,0
"I Udana ",2012,2020,18,18,783,810,16,50.625,6.20689655172414,48.9375,"3/82",0,0
"MP Vaughan ",2001,2007,86,28,796,649,16,40.5625,4.89195979899498,49.75,"4/22",1,0
"R Vijay Bharadwaj ",1999,2002,10,9,372,307,16,19.1875,4.95161290322581,23.25,"3/34",0,0
"Zakir Khan ",1984,1990,17,16,646,494,16,30.875,4.58823529411765,40.375,"4/19",1,0
"KK Ahmed ",2018,2019,11,11,480,465,15,31,5.8125,32,"3/13",0,0
"PJW Allott ",1982,1985,13,13,819,552,15,36.8,4.04395604395604,54.6,"3/41",0,0
"CJA Amini ",2014,2019,15,15,732,560,15,37.3333333333333,4.59016393442623,48.8,"4/27",1,0
"Azeem Hafeez ",1983,1985,15,14,719,586,15,39.0666666666667,4.89012517385257,47.9333333333333,"4/22",1,0
"SL Boock ",1978,1987,14,13,700,513,15,34.2,4.39714285714286,46.6666666666667,"3/28",0,0
"DCC Borden ",2006,2008,12,12,411,392,15,26.1333333333333,5.72262773722628,27.4,"4/30",1,0
"RL Chase ",2017,2020,30,23,893,719,15,47.9333333333333,4.83090705487122,59.5333333333333,"3/30",0,0
"Danish Kaneria ",2001,2007,18,18,854,683,15,45.5333333333333,4.79859484777517,56.9333333333333,"3/31",0,0
"G Dymock ",1974,1980,15,14,806,412,15,27.4666666666667,3.06699751861042,53.7333333333333,"2/21",0,0
"TCB Fernando ",2001,2003,17,17,700,586,15,39.0666666666667,5.02285714285714,46.6666666666667,"5/67",0,1
"KD Ghavri ",1975,1981,19,19,1033,708,15,47.2,4.11229428848015,68.8666666666667,"3/40",0,0
"NC McGarrell ",1998,2001,17,17,859,681,15,45.4,4.75669383003492,57.2666666666667,"3/32",0,0
"KH MacLeay ",1983,1987,16,16,857,626,15,41.7333333333333,4.38273045507585,57.1333333333333,"6/39",0,1
"GH O'Brien ",2006,2008,9,9,456,405,15,27,5.32894736842105,30.4,"3/31",0,0
"SS Pathirana ",2015,2017,18,18,765,720,15,48,5.64705882352941,51,"3/37",0,0
"SM Patil ",1980,1986,45,20,864,589,15,39.2666666666667,4.09027777777778,57.6,"2/28",0,0
"Rajin Saleh ",2003,2006,43,19,539,459,15,30.6,5.10946196660482,35.9333333333333,"4/16",1,0
"AK Sharma ",1988,1993,31,29,1140,875,15,58.3333333333333,4.60526315789474,76,"3/41",0,0
