"Player","Start","End","Matches","Innings","Dismissals","Caught","CaughtFielder","CaughtBehind","Stumped","MaxDismissalsInnings"
"JC Adams ",1992,2001,127,127,73,68,42,26,5,5
"DJ Bravo ",2004,2014,164,161,73,73,73,0,0,3
"S Chanderpaul ",1994,2011,268,264,73,73,73,0,0,2
"WJ Cronje ",1992,2000,188,186,73,73,73,0,0,2
"Javed Miandad ",1975,1996,233,229,73,71,70,1,2,3
"SB Styris ",1999,2011,188,185,73,73,73,0,0,3
"E Chigumbura ",2004,2018,213,212,72,72,72,0,0,4
"GO Jones ",2004,2014,51,51,72,68,0,68,4,5
"Harbhajan Singh ",1998,2015,236,231,71,71,71,0,0,3
"N Kapil Dev ",1978,1994,225,222,71,71,71,0,0,3
"KD Karthik ",2004,2019,94,94,71,64,29,35,7,4
"H Masakadza ",2001,2019,209,209,71,71,71,0,0,2
"MS Atapattu ",1990,2007,268,266,70,70,70,0,0,3
"MG Bevan ",1994,2004,232,230,69,69,69,0,0,3
"DR Martyn ",1992,2006,208,205,69,69,69,0,0,3
"A Bagai ",2003,2013,62,62,68,59,1,58,9,4
"CO Browne ",1995,2005,46,46,68,59,0,59,9,5
"ML Hayden ",1993,2008,161,158,68,68,68,0,0,2
"DJG Sammy ",2004,2015,126,124,67,67,67,0,0,3
"SPD Smith ",2010,2020,125,125,67,67,67,0,0,3
"SO Tikolo ",1996,2014,135,135,67,67,67,0,0,3
"CL Cairns ",1991,2006,215,214,66,66,66,0,0,3
"LD Chandimal ",2010,2019,146,143,66,59,28,31,7,4
"MD Crowe ",1982,1995,143,141,66,66,66,0,0,3
"Misbah-ul-Haq ",2002,2015,162,160,66,66,66,0,0,4
"C Kieswetter ",2010,2013,46,45,65,53,1,52,12,5
"GJ Maxwell ",2012,2019,110,110,65,65,65,0,0,4
"GA Hick ",1991,2001,120,119,64,64,64,0,0,3
"Mahmudullah ",2007,2020,188,187,64,64,64,0,0,3
"KJ O'Brien ",2006,2020,145,141,64,64,64,0,0,3
"WTS Porterfield ",2006,2020,139,134,64,64,64,0,0,3
"SR Watson ",2002,2015,190,189,64,64,64,0,0,2
"A Ranatunga ",1982,1999,269,268,63,63,63,0,0,3
"DJ Cullinan ",1993,2000,138,135,62,62,62,0,0,3
"S Dhawan ",2010,2020,136,134,62,62,62,0,0,4
"G Kirsten ",1993,2003,185,183,62,61,60,1,1,3
"Mashrafe Mortaza ",2001,2020,220,220,62,62,62,0,0,2
"NLTC Perera ",2009,2020,164,160,62,62,62,0,0,2
"Wasim Bari ",1973,1984,51,50,62,52,0,52,10,4
"AL Logie ",1981,1993,158,158,61,61,61,0,0,3
"DA Miller ",2010,2020,132,128,61,61,61,0,0,3
"KA Pollard ",2007,2020,113,111,61,61,61,0,0,4
"AJ Finch ",2013,2020,126,126,60,60,60,0,0,3
"WPUJC Vaas ",1994,2008,322,320,60,60,60,0,0,2
"KS Williamson ",2010,2020,151,150,60,60,60,0,0,3
"DL Haynes ",1978,1994,238,236,59,59,59,0,0,2
"A Jadeja ",1992,2000,196,195,59,59,59,0,0,2
"RA Jadeja ",2009,2020,165,164,58,58,58,0,0,2
"Mohammad Yousuf ",1998,2010,288,285,58,58,58,0,0,2
"MA Ouma ",2004,2014,80,80,58,48,5,43,10,5
"KO Otieno ",1996,2009,90,90,57,43,3,40,14,4
"AJ Strauss ",2003,2011,127,127,57,57,57,0,0,3
"MA Taylor ",1989,1997,113,113,56,56,56,0,0,4
"RA Harper ",1983,1996,105,105,55,55,55,0,0,3
"M Kaif ",2002,2006,125,122,55,55,55,0,0,4
"Mohammad Nabi ",2009,2019,124,121,55,55,55,0,0,3
"TD Paine ",2009,2018,35,34,55,51,0,51,4,5
"PV Simmons ",1987,1999,143,143,55,55,55,0,0,4
"DA Warner ",2009,2020,123,123,55,55,55,0,0,2
"IR Bell ",2004,2015,161,160,54,54,54,0,0,3
"DM Jones ",1984,1994,164,164,54,54,54,0,0,2
"B Lee ",2000,2012,221,217,54,54,54,0,0,3
"Tamim Iqbal ",2007,2020,207,206,54,54,54,0,0,2
"JM Anderson ",2002,2015,194,192,53,53,53,0,0,3
"AD Mathews ",2008,2020,217,213,53,53,53,0,0,3
"JR Murray ",1992,1999,55,55,53,46,2,44,7,3
"AB Agarkar ",1998,2007,191,188,52,52,52,0,0,2
"CS Baugh ",2003,2012,47,46,51,39,0,39,12,4
"JDP Oram ",2001,2012,160,159,51,51,51,0,0,2
"JG Wright ",1978,1992,149,147,51,51,51,0,0,2
"JO Holder ",2013,2020,115,112,50,50,50,0,0,2
"MN Samuels ",2000,2018,207,207,50,50,50,0,0,2
"Shakib Al Hasan ",2006,2019,206,205,50,50,50,0,0,3
"WU Tharanga ",2005,2019,235,228,50,50,50,0,0,3
"P Utseya ",2004,2015,164,164,50,50,50,0,0,2
"SC Williams ",2005,2020,133,132,50,50,50,0,0,3
"Aamer Sohail ",1990,2000,156,154,49,49,49,0,0,2
"AP Gurusinha ",1985,1996,147,147,49,49,47,2,0,2
"WB Phillips ",1982,1986,48,48,49,42,0,42,7,4
"ME Trescothick ",2000,2006,123,121,49,49,45,4,0,3
"KC Wessels ",1983,1994,109,106,49,49,49,0,0,4
"RP Arnold ",1997,2007,180,179,48,48,48,0,0,2
"GJ Bailey ",2012,2016,90,90,48,48,48,0,0,3
"AM Rahane ",2011,2018,90,87,48,48,48,0,0,2
"J Smits ",2003,2009,38,38,48,41,0,41,7,4
"AT Carey ",2018,2020,36,36,47,42,0,42,5,5
"N Dickwella ",2014,2019,52,52,47,38,0,38,9,4
"A Flintoff ",1999,2009,141,140,47,47,47,0,0,3
"RC Russell ",1987,1998,40,40,47,41,0,41,6,3
"KMDN Kulasekara ",2003,2017,184,181,46,46,46,0,0,3
"MDKJ Perera ",2013,2020,101,100,46,43,17,26,3,4
"HH Streak ",1993,2005,189,188,46,46,46,0,0,2
"CEL Ambrose ",1988,2000,176,175,45,45,45,0,0,3
"DC Boon ",1984,1995,181,181,45,45,45,0,0,2
"GA Gooch ",1976,1995,125,125,45,45,45,0,0,2
"CG Greenidge ",1975,1991,128,127,45,45,45,0,0,2
"RR Sarwan ",2000,2013,181,176,45,45,45,0,0,2
"PR Stirling ",2008,2020,117,113,45,45,45,0,0,3
"BA Stokes ",2011,2019,95,92,45,45,45,0,0,3
"D Williams ",1988,1997,36,35,45,35,0,35,10,4
"DI Gower ",1978,1991,114,114,44,44,44,0,0,3
"NV Knight ",1996,2003,100,100,44,44,44,0,0,2
"CD McMillan ",1997,2007,197,193,44,44,44,0,0,2
"DO Obuya ",2001,2012,74,74,44,39,16,23,5,4
"CR Woakes ",2011,2020,101,97,44,44,44,0,0,4
"Z Khan ",2000,2012,200,197,43,43,43,0,0,3
"CO Obuya ",2001,2014,104,104,43,43,43,0,0,3
"RL Powell ",1999,2005,109,107,43,43,43,0,0,3
"CMW Read ",2000,2006,36,35,43,41,0,41,2,5
"CR Ervine ",2010,2019,93,92,42,42,42,0,0,4
"BM McMillan ",1991,1998,78,77,42,42,42,0,0,3
"KD Mills ",2001,2015,170,169,42,42,42,0,0,3
"Saeed Anwar ",1989,2003,247,242,42,42,42,0,0,3
"V Sibanda ",2003,2016,127,127,42,42,42,0,0,2
"K Srikkanth ",1981,1992,146,145,42,42,42,0,0,2
"GP Thorpe ",1993,2002,82,81,42,42,42,0,0,3
"NL McCullum ",2009,2015,84,83,41,41,41,0,0,4
"KR Rutherford ",1985,1995,121,121,41,41,41,0,0,4
"L Vincent ",2001,2007,102,100,41,41,39,2,0,2
"JV Coney ",1979,1987,88,86,40,40,40,0,0,3
"N Hussain ",1989,2003,88,88,40,40,40,0,0,2
"KP Pietersen ",2004,2013,136,135,40,40,40,0,0,2
"Saqlain Mushtaq ",1995,2003,169,166,40,40,40,0,0,2
"RJ Shastri ",1981,1992,150,148,40,40,40,0,0,2
"Sikandar Raza ",2013,2020,100,99,40,40,40,0,0,3
"SV Carlisle ",1995,2005,111,111,39,39,39,0,0,3
"VVS Laxman ",1998,2006,86,85,39,39,39,0,0,4
"CH Lloyd ",1973,1985,87,87,39,39,39,0,0,3
"BKG Mendis ",2016,2020,76,75,39,39,37,2,0,3
"PA Patel ",2003,2012,38,36,39,30,0,30,9,4
"TG Southee ",2008,2020,143,142,39,39,39,0,0,3
"TE Blain ",1986,1994,38,38,38,37,1,36,1,4
"DSBP Kuruppu ",1983,1990,54,54,38,30,4,26,8,4
"DL Murray ",1973,1980,26,26,38,37,0,37,1,4
"HDRL Thirimanne ",2010,2019,127,125,38,38,38,0,0,2
"Azhar Mahmood ",1996,2007,143,140,37,37,37,0,0,2
"JM Bairstow ",2011,2020,77,74,37,35,22,13,2,4
"AG Cremer ",2009,2018,96,95,37,37,37,0,0,2
"GD McGrath ",1993,2007,250,248,37,37,37,0,0,3
"S Matsikenyeri ",2002,2015,113,113,37,37,37,0,0,3
"Najibullah Zadran ",2012,2019,67,66,37,37,37,0,0,3
"BKV Prasad ",1994,2001,161,160,37,37,37,0,0,3
"Sabbir Rahman ",2014,2019,66,65,37,37,37,0,0,3
"RG Twose ",1995,2001,87,87,37,37,37,0,0,2
"DB Vengsarkar ",1976,1991,129,127,37,37,37,0,0,3
"CL White ",2005,2018,91,90,37,37,37,0,0,3
"Babar Azam ",2015,2019,74,73,36,36,36,0,0,2
"J Botha ",2005,2012,78,77,36,36,36,0,0,3
"IT Botham ",1976,1992,116,116,36,36,36,0,0,2
"AN Cook ",2006,2014,92,91,36,36,36,0,0,2
"HH Dippenaar ",1999,2007,107,106,36,36,34,2,0,3
