"Player","Start","End","Matches","Innings","Dismissals","Caught","CaughtFielder","CaughtBehind","Stumped","MaxDismissalsInnings"
"A Balbirnie ",2010,2020,67,65,20,20,20,0,0,4
"GB Brent ",1996,2008,70,70,20,20,20,0,0,2
"TT Bresnan ",2006,2015,85,84,20,20,20,0,0,2
"AF Buurman ",2007,2011,17,17,20,17,2,15,3,3
"CK Coventry ",2003,2015,39,39,20,19,19,0,1,1
"DN Crookes ",1994,2000,32,32,20,20,20,0,0,2
"DM de Silva ",2016,2020,45,45,20,20,20,0,0,2
"M Dillon ",1997,2005,108,107,20,20,20,0,0,2
"JS Foster ",2001,2002,11,11,20,13,0,13,7,3
"MW Goodwin ",1998,2000,71,71,20,20,20,0,0,2
"JK Kamande ",1999,2011,86,86,20,20,20,0,0,2
"H Klaasen ",2018,2020,17,17,20,17,6,11,3,4
"CC Lewis ",1990,1998,53,53,20,20,20,0,0,2
"DA Minors ",2006,2007,20,20,20,16,4,12,4,3
"RS Morton ",2002,2010,56,55,20,20,20,0,0,3
"Rubel Hossain ",2009,2019,101,100,20,20,20,0,0,2
"Salman Butt ",2004,2010,78,77,20,20,20,0,0,2
"Shoaib Akhtar ",1998,2011,163,162,20,20,20,0,0,2
"NS Sidhu ",1987,1998,136,135,20,20,20,0,0,2
"LPC Silva ",1999,2011,75,73,20,20,20,0,0,3
"SAR Silva ",1984,1985,20,20,20,17,0,17,3,3
"JE Taylor ",2003,2017,90,88,20,20,20,0,0,2
"DR Tuffey ",2000,2010,94,92,20,20,20,0,0,3
"BJ Watling ",2010,2018,28,28,20,20,6,14,0,3
"Akram Raza ",1989,1995,49,49,19,19,19,0,0,2
"AJ Bichel ",1997,2004,67,66,19,19,19,0,0,2
"JG Bracewell ",1983,1990,53,52,19,19,19,0,0,3
"BL Cairns ",1974,1985,78,77,19,19,19,0,0,2
"EJ Chatfield ",1979,1989,114,112,19,19,19,0,0,2
"SS Cottrell ",2015,2020,35,33,19,19,19,0,0,3
"XJ Doherty ",2010,2015,60,60,19,19,19,0,0,2
"JE Emburey ",1980,1993,61,61,19,19,19,0,0,2
"JM How ",2005,2011,41,40,19,19,19,0,0,4
"NC Johnson ",1998,2000,48,48,19,19,19,0,0,2
"CJ Jordan ",2013,2020,34,34,19,19,19,0,0,2
"SB Joshi ",1996,2001,69,68,19,19,19,0,0,2
"RAS Lakmal ",2009,2019,85,83,19,19,19,0,0,1
"AR McBrine ",2014,2020,45,44,19,19,19,0,0,3
"Mohammad Sami ",2001,2015,87,86,19,19,19,0,0,2
"JF Mooney ",2006,2015,64,62,19,19,19,0,0,2
"DK Morrison ",1987,1996,96,96,19,19,19,0,0,2
"Naeem Islam ",2008,2014,59,59,19,19,19,0,0,2
"Nawroz Mangal ",2009,2016,49,49,19,19,19,0,0,2
"CJ Nevin ",2000,2003,37,36,19,16,2,14,3,3
"Rahmat Shah ",2013,2019,73,70,19,19,19,0,0,2
"SMSM Senanayake ",2012,2015,49,48,19,19,19,0,0,3
"I Sharma ",2007,2016,80,78,19,19,19,0,0,1
"MC Snedden ",1980,1990,93,92,19,19,19,0,0,1
"AO Suji ",1996,2008,60,60,19,19,19,0,0,2
"V Yadav ",1992,1994,19,19,19,12,0,12,7,3
"Asif Mujtaba ",1986,1996,66,66,18,18,18,0,0,3
"AR Cusack ",2007,2015,59,55,18,18,18,0,0,2
"PG Fulton ",2004,2009,49,48,18,18,18,0,0,2
"IJ Gould ",1983,1983,18,18,18,15,0,15,3,3
"SO Hetmyer ",2017,2020,45,43,18,18,15,3,0,3
"AC Hudson ",1991,1997,89,88,18,18,18,0,0,2
"AN Kervezee ",2006,2012,39,39,18,18,18,0,0,3
"GF Lawson ",1980,1989,79,79,18,18,18,0,0,2
"MA Leask ",2014,2019,34,34,18,18,18,0,0,3
"S Madan Lal ",1974,1987,67,65,18,18,18,0,0,2
"RS Madugalle ",1979,1988,63,63,18,18,18,0,0,2
"JP Maher ",1998,2003,26,26,18,18,10,8,0,3
"Maninder Singh ",1983,1993,59,58,18,18,18,0,0,2
"HJH Marshall ",2003,2007,66,65,18,18,18,0,0,3
"NO Miller ",2008,2018,50,48,18,18,18,0,0,3
"A Nehra ",2001,2011,120,120,18,18,18,0,0,2
"HM Nicholls ",2015,2020,49,48,18,18,18,0,0,2
"RR Patel ",2008,2014,39,39,18,18,18,0,0,2
"Raqibul Hasan ",2008,2011,55,55,18,18,18,0,0,2
"WP Saha ",2010,2014,9,8,18,17,0,17,1,4
"SA Thomson ",1990,1996,56,56,18,18,18,0,0,2
"MA Vermeulen ",2000,2009,43,43,18,18,18,0,0,3
"DP Viljoen ",1997,2001,53,53,18,18,18,0,0,2
"SC Williams ",1994,1999,57,57,18,18,18,0,0,3
"LJ Wright ",2007,2014,50,50,18,18,18,0,0,2
"Ahmed Raza ",2014,2020,31,31,17,17,17,0,0,3
"JJ Bumrah ",2016,2020,64,64,17,17,17,0,0,2
"JM Davison ",2003,2011,32,32,17,17,17,0,0,2
"GD Elliott ",2008,2016,83,83,17,17,17,0,0,2
"TJ Friend ",2000,2004,51,51,17,17,17,0,0,2
"Haris Sohail ",2013,2019,41,40,17,17,17,0,0,2
"IJ Harvey ",1997,2004,73,72,17,17,17,0,0,2
"MJ Henry ",2014,2019,52,50,17,17,17,0,0,2
"Khaled Mahmud ",1998,2006,77,77,17,17,17,0,0,2
"E Lewis ",2016,2020,51,49,17,17,17,0,0,2
"EB McSweeney ",1986,1987,16,15,17,14,0,14,3,3
"PJ Ongondo ",1999,2011,79,79,17,17,17,0,0,2
"YK Pathan ",2008,2012,57,56,17,17,17,0,0,3
"RW Price ",2002,2012,102,102,17,17,17,0,0,2
"WB Rankin ",2007,2020,75,73,17,17,17,0,0,2
"AT Rayudu ",2013,2019,55,53,17,17,17,0,0,2
"CJ Richards ",1981,1988,22,22,17,16,0,16,1,3
"TT Samaraweera ",1998,2011,53,51,17,17,17,0,0,2
"MS Sinclair ",2000,2009,54,54,17,17,15,2,0,2
"Umar Gul ",2003,2016,130,128,17,17,17,0,0,2
"GM Wood ",1978,1989,83,80,17,17,17,0,0,2
"Aamer Malik ",1988,1994,24,24,16,13,3,10,3,2
"CWJ Athey ",1980,1988,31,31,16,16,16,0,0,3
"JJ Atkinson ",2008,2017,9,9,16,10,0,10,6,4
"WKM Benjamin ",1986,1995,85,85,16,16,16,0,0,1
"N Chopra ",1998,2000,39,38,16,16,16,0,0,2
"KJ Coetzer ",2008,2019,59,58,16,16,16,0,0,2
"PJ Cummins ",2011,2020,64,64,16,16,16,0,0,2
"Dawlat Zadran ",2011,2019,82,80,16,16,16,0,0,2
"RL Dias ",1979,1987,58,58,16,16,16,0,0,2
"BN French ",1985,1988,13,13,16,13,0,13,3,3
"BJ Hodge ",2005,2007,25,25,16,16,16,0,0,2
"GP Howarth ",1975,1985,70,69,16,16,16,0,0,2
"APE Knott ",1971,1977,20,19,16,15,0,15,1,4
"T Mishra ",2006,2013,42,42,16,16,16,0,0,2
"DA Murray ",1973,1981,10,10,16,16,0,16,0,3
"TJ Murtagh ",2012,2019,58,57,16,16,16,0,0,1
"Naved-ul-Hasan ",2003,2010,74,72,16,16,16,0,0,2
"A Ratra ",2002,2002,12,12,16,11,0,11,5,3
"GJ Rennie ",1996,2003,40,40,16,16,16,0,0,2
"RD Shah ",1998,2007,56,56,16,16,16,0,0,2
"VS Solanki ",2000,2006,51,50,16,16,16,0,0,2
"A Vala ",2014,2019,27,27,16,16,16,0,0,3
"Zaheer Abbas ",1974,1985,62,60,16,16,16,0,0,2
"Anil Dalpat ",1984,1986,15,14,15,13,0,13,2,3
"MA Atherton ",1990,1998,54,54,15,15,15,0,0,2
"Basit Ali ",1993,1996,50,49,15,15,15,0,0,2
"SE Bond ",2002,2010,82,80,15,15,15,0,0,2
"YS Chahal ",2016,2020,52,52,15,15,15,0,0,2
"SKL de Silva ",1997,1997,11,11,15,9,0,9,6,3
"PS de Villiers ",1992,1997,83,82,15,15,15,0,0,2
"ST Finn ",2011,2017,69,67,15,15,15,0,0,2
"DT Hondo ",2001,2005,56,56,15,15,15,0,0,1
"VG Kambli ",1991,2000,104,101,15,15,15,0,0,1
"MD Marshall ",1980,1992,136,134,15,15,15,0,0,2
"BAW Mendis ",2008,2015,87,85,15,15,15,0,0,2
"JA Morkel ",2004,2012,58,58,15,15,15,0,0,2
"Noor Ali Zadran ",2009,2019,51,49,15,15,15,0,0,2
"AR Nurse ",2016,2019,54,52,15,15,15,0,0,3
"AA Obanda ",2007,2014,49,49,15,15,15,0,0,2
"JL Ontong ",2001,2012,28,27,15,15,15,0,0,2
"AR Patel ",2014,2017,38,36,15,15,15,0,0,2
"KL Rahul ",2016,2020,32,32,15,13,8,5,2,3
"Rizwan Cheema ",2008,2013,33,32,15,15,15,0,0,2
"Rohan Mustafa ",2014,2020,37,37,15,15,15,0,0,2
"JD Ryder ",2008,2014,48,48,15,15,15,0,0,2
"Sohail Tanvir ",2007,2014,62,60,15,15,15,0,0,2
"CM Spearman ",1995,2001,51,51,15,15,15,0,0,1
"BC Strang ",1995,2001,49,48,15,15,15,0,0,2
"HA Varaiya ",2006,2014,63,63,15,15,15,0,0,2
"KJ Wadsworth ",1973,1976,13,13,15,13,0,13,2,3
"CD Wallace ",2012,2019,28,28,15,13,8,5,2,4
"Asad Shafiq ",2010,2017,60,59,14,14,14,0,0,2
"EAE Baptiste ",1983,1990,43,43,14,14,14,0,0,2
"AC Cummins ",1991,2007,76,75,14,14,14,0,0,2
"A Dananjaya ",2012,2019,36,35,14,14,14,0,0,2
"C de Grandhomme ",2012,2020,42,42,14,14,14,0,0,2
"DW Fleming ",1994,2001,88,88,14,14,14,0,0,1
"HA Gomes ",1978,1987,83,83,14,14,14,0,0,1
"PSP Handscomb ",2017,2019,22,22,14,14,9,5,0,3
"HMRKB Herath ",2004,2015,71,69,14,14,14,0,0,2
"Imran Farhat ",2001,2013,58,58,14,14,14,0,0,1
"HH Kanitkar ",1997,2000,34,34,14,14,14,0,0,2
"Mansoor Akhtar ",1980,1990,41,40,14,14,14,0,0,2
"LRD Mendis ",1975,1989,79,79,14,14,14,0,0,2
"AA Mulla ",2006,2009,24,24,14,9,5,4,5,2
"SP Narine ",2011,2016,65,65,14,14,14,0,0,2
"KOA Powell ",2009,2018,46,45,14,14,14,0,0,2
"R Powell ",2016,2018,34,33,14,14,14,0,0,2
"R Rampaul ",2003,2015,92,89,14,14,14,0,0,2
"JR Ratnayeke ",1982,1990,78,78,14,14,14,0,0,2
"Shafiqullah ",2009,2018,24,24,14,11,3,8,3,2
"JC Tredwell ",2010,2015,45,44,14,14,14,0,0,2
"IJL Trott ",2009,2013,68,66,14,14,14,0,0,2
"LJ Tucker ",2019,2020,8,8,14,13,1,12,1,3
"RR Watson ",2006,2010,35,34,14,14,14,0,0,2
"Yasir Hameed ",2003,2007,56,56,14,14,14,0,0,2
"Aminul Islam ",1988,2002,39,39,13,13,13,0,0,2
"HK Badani ",2000,2004,40,40,13,13,13,0,0,2
"B Bhandari ",2019,2020,7,7,13,12,0,12,1,4
"SW Billings ",2015,2018,15,15,13,13,9,4,0,2
"PB Dassanayake ",1993,1994,16,16,13,9,0,9,4,2
"ALF de Mel ",1982,1987,57,57,13,13,13,0,0,2
"Dhiman Ghosh ",2008,2008,14,14,13,9,0,9,4,4
"Farhad Reza ",2006,2011,34,34,13,13,13,0,0,2
"DA Gunawardene ",1998,2006,61,61,13,13,13,0,0,2
"JR Hazlewood ",2010,2020,48,48,13,13,13,0,0,2
"RR Hendricks ",2018,2020,21,20,13,13,13,0,0,3
"AJ Hollioake ",1996,1999,35,35,13,13,13,0,0,3
"MS Kasprowicz ",1995,2005,43,42,13,13,13,0,0,2
"SM Katich ",2001,2006,45,45,13,13,13,0,0,1
"UT Khawaja ",2013,2019,40,40,13,13,13,0,0,2
"NFI McCallum ",2006,2011,43,42,13,13,13,0,0,2
"R McLaren ",2009,2014,54,52,13,13,13,0,0,1
"Mehidy Hasan Miraz ",2017,2020,41,40,13,13,13,0,0,3
"BMAJ Mendis ",2010,2019,58,56,13,13,13,0,0,2
"Mohsin Khan ",1977,1986,75,73,13,13,13,0,0,2
"Mosaddek Hossain ",2016,2019,35,34,13,13,13,0,0,2
"Nasir Jamshed ",2008,2015,48,48,13,13,13,0,0,2
"HK Olonga ",1995,2003,50,50,13,13,13,0,0,2
"JS Patel ",2005,2017,43,42,13,13,13,0,0,1
"AL Phehlukwayo ",2016,2020,58,56,13,13,13,0,0,2
"DBL Powell ",2002,2009,55,55,13,13,13,0,0,2
"Shahriar Nafees ",2005,2011,75,75,13,13,13,0,0,2
"Shoaib Mohammad ",1984,1993,63,62,13,13,13,0,0,2
"RP Singh ",2005,2011,58,58,13,13,13,0,0,1
"DS Smith ",2003,2013,47,46,13,13,13,0,0,3
"RN ten Doeschate ",2006,2011,33,33,13,13,13,0,0,2
"GM Turner ",1973,1983,41,41,13,13,13,0,0,2
"DNT Zoysa ",1997,2007,95,94,13,13,13,0,0,2
"Akshay Homraj ",2019,2020,8,8,12,12,0,12,0,4
"Amjad Ali ",2008,2015,17,17,12,11,7,4,1,3
"PK Amre ",1991,1994,37,36,12,12,12,0,0,2
"RMH Binny ",1980,1987,72,70,12,12,12,0,0,2
"IR Bishop ",1988,1997,84,83,12,12,12,0,0,1
"DE Bollinger ",2009,2011,39,39,12,12,12,0,0,1
"JM Brearley ",1977,1980,25,25,12,12,12,0,0,2
"C Carter ",2015,2018,11,11,12,10,1,9,2,3
"CD Collymore ",1999,2007,84,83,12,12,12,0,0,2
"TLW Cooper ",2010,2013,23,23,12,12,12,0,0,2
"KM Dabengwa ",2005,2010,37,37,12,12,12,0,0,2
"JWM Dalrymple ",2006,2007,27,27,12,12,12,0,0,2
"KSC de Silva ",1996,2000,38,37,12,12,12,0,0,2
"J Dyson ",1980,1983,29,29,12,12,12,0,0,3
"BA Edgar ",1978,1986,64,63,12,12,12,0,0,2
"CN Evans ",1992,2002,53,52,12,12,12,0,0,2
"NA Foster ",1984,1989,48,48,12,12,12,0,0,2
"Gulbadin Naib ",2011,2019,65,63,12,12,12,0,0,1
"MD Gunathilaka ",2015,2019,38,37,12,12,12,0,0,2
"Hasan Ali ",2016,2019,53,52,12,12,12,0,0,2
"TM Head ",2016,2018,42,42,12,12,12,0,0,2
"MJ Horne ",1997,2002,50,49,12,12,12,0,0,2
"Imad Wasim ",2015,2019,53,52,12,12,12,0,0,1
"CA Ingram ",2010,2013,31,31,12,12,12,0,0,2
"Javed Omar ",1995,2007,59,59,12,12,12,0,0,2
"SG Law ",1994,1999,54,54,12,12,12,0,0,2
"DA Marillier ",2000,2003,48,48,12,12,12,0,0,2
"AK Markram ",2017,2019,26,25,12,12,12,0,0,3
"XM Marshall ",2005,2020,37,36,12,12,12,0,0,2
"T Maruma ",2007,2019,21,21,12,12,12,0,0,3
"SF Mire ",2014,2019,47,47,12,12,12,0,0,1
"HS Modi ",1996,2006,63,63,12,12,12,0,0,2
"J Mubarak ",2002,2013,40,40,12,12,12,0,0,2
"Mustafizur Rahman ",2015,2020,58,57,12,12,12,0,0,2
"Nadeem Ahmed ",2004,2018,25,25,12,12,12,0,0,2
"MO Odumbe ",1996,2003,61,61,12,12,12,0,0,2
"JM Parker ",1974,1981,24,24,12,11,11,0,1,3
"WD Parnell ",2009,2017,65,62,12,12,12,0,0,2
"DA Reeve ",1991,1996,29,29,12,12,12,0,0,3
"JA Rennie ",1993,2000,44,44,12,12,12,0,0,2
"PM Seelaar ",2006,2019,41,41,12,12,12,0,0,2
"Shaiman Anwar ",2014,2019,40,40,12,12,12,0,0,2
"MP Stoinis ",2015,2019,41,41,12,12,12,0,0,1
"C White ",1994,2003,51,50,12,12,12,0,0,1
"CJ Anderson ",2013,2017,49,48,11,11,11,0,0,2
"Babar Hayat ",2014,2018,22,22,11,11,11,0,0,2
"L Balaji ",2002,2009,30,30,11,11,11,0,0,2
"AM Blignaut ",1999,2010,54,54,11,11,11,0,0,2
"AC Botha ",2006,2011,42,40,11,11,11,0,0,2
"EA Brandes ",1987,1999,59,59,11,11,11,0,0,1
"CR Brathwaite ",2011,2019,44,42,11,11,11,0,0,1
"RL Chase ",2017,2020,30,28,11,11,11,0,0,2
"R Clarke ",2003,2006,20,20,11,11,11,0,0,3
"RDB Croft ",1996,2001,50,49,11,11,11,0,0,1
"AC Dale ",1997,2000,30,30,11,11,11,0,0,1
"J Edness ",2007,2008,11,11,11,7,0,7,4,3
"D Ganga ",1999,2006,35,35,11,11,11,0,0,2
"DW Hookes ",1977,1986,39,37,11,11,11,0,0,2
"KM Jarvis ",2009,2019,49,49,11,11,11,0,0,2
"Javed Ahmadi ",2010,2019,44,41,11,11,11,0,0,1
"PN Kirsten ",1991,1994,40,40,11,11,11,0,0,2
"P Kumar ",2007,2012,68,67,11,11,11,0,0,2
"CK Langeveldt ",2001,2010,72,71,11,11,11,0,0,1
"RT Latham ",1990,1994,33,33,11,11,11,0,0,2
"Mohammad Irfan ",2010,2016,60,60,11,11,11,0,0,2
"CB Mpofu ",2004,2020,84,83,11,11,11,0,0,1
"HG Munsey ",2017,2019,25,25,11,11,11,0,0,2
"BA Murphy ",2000,2003,31,31,11,11,11,0,0,2
"D Murphy ",2013,2013,8,8,11,8,0,8,3,5
"TK Musakanda ",2016,2018,15,15,11,11,11,0,0,2
"P Mustard ",2007,2008,10,10,11,9,0,9,2,2
"F Mutizwa ",2009,2011,17,17,11,9,1,8,2,3
"RJ Nicol ",2011,2013,22,22,11,11,11,0,0,2
"SB O'Connor ",1997,2000,38,38,11,11,11,0,0,2
"H Osinde ",2006,2013,42,41,11,11,11,0,0,2
"MM Patel ",2006,2011,70,68,11,11,11,0,0,2
"SM Patil ",1980,1986,45,44,11,11,11,0,0,2
"SP Patil ",2014,2015,13,13,11,8,0,8,3,3
"DR Pringle ",1982,1993,44,44,11,11,11,0,0,2
"CPH Ramanayake ",1986,1995,62,62,11,11,11,0,0,2
"RJ Ratnayake ",1982,1993,70,70,11,11,11,0,0,2
"SJ Rhodes ",1989,1995,9,9,11,9,0,9,2,4
"SJ Rixon ",1978,1985,6,6,11,9,0,9,2,4
"JA Rudolph ",2003,2006,45,45,11,11,11,0,0,2
"AD Russell ",2011,2019,56,56,11,11,11,0,0,1
"Sanwar Hossain ",1998,2003,27,27,11,11,11,0,0,2
"SM Sharif ",2011,2019,44,44,11,11,11,0,0,2
"MA Suji ",1996,2006,64,64,11,11,11,0,0,2
"Tahir Naqqash ",1980,1985,40,38,11,11,11,0,0,2
"TP Ura ",2014,2019,26,26,11,11,11,0,0,2
"DLS van Bunge ",2002,2013,37,37,11,11,11,0,0,2
"MN van Wyk ",2003,2015,17,17,11,10,1,9,1,4
"PA Wallace ",1991,2000,33,32,11,11,11,0,0,2
"MR Whitney ",1983,1993,38,38,11,11,11,0,0,3
"MA Wood ",2015,2019,51,50,11,11,11,0,0,2
"A Zampa ",2016,2020,55,55,11,11,11,0,0,1
"Amir Hamza ",2012,2017,31,31,10,10,10,0,0,2
"Anamul Haque ",2012,2019,38,38,10,10,4,6,0,3
"SD Anurasiri ",1986,1994,45,45,10,10,10,0,0,2
"Arshad Khan ",1993,2006,58,57,10,10,10,0,0,2
"SFAF Bacchus ",1978,1983,29,29,10,10,10,0,0,2
"BC Broad ",1987,1988,34,34,10,10,10,0,0,1
"RK Chauhan ",1993,1997,35,34,10,10,10,0,0,1
"DT Christian ",2012,2014,19,19,10,10,10,0,0,2
"SR Clark ",2005,2009,39,39,10,10,10,0,0,2
"JH Davey ",2010,2019,31,30,10,10,10,0,0,2
"SB Doull ",1992,2000,42,42,10,10,10,0,0,2
"Fawad Alam ",2007,2015,38,38,10,10,10,0,0,2
"LH Ferguson ",2016,2020,37,37,10,10,10,0,0,1
"JN Gillespie ",1996,2005,97,97,10,10,10,0,0,1
"DAS Gunaratne ",2016,2019,31,30,10,10,10,0,0,2
"RM Haq ",2006,2015,54,52,10,10,10,0,0,2
"SJ Harmison ",2002,2009,58,58,10,10,10,0,0,1
"BW Hilfenhaus ",2007,2012,25,25,10,10,10,0,0,2
"TG Hogan ",1983,1984,16,15,10,10,10,0,0,2
"Iftikhar Anjum ",2004,2010,62,61,10,10,10,0,0,3
"Ihsanullah ",2017,2018,16,16,10,10,10,0,0,3
"LM Jongwe ",2014,2016,22,22,10,10,10,0,0,3
"M Kartik ",2002,2007,37,37,10,10,10,0,0,1
"FDM Karunaratne ",2011,2020,31,31,10,10,10,0,0,1
"R Lamba ",1986,1989,32,32,10,10,10,0,0,1
"RDM Leverock ",2006,2009,32,32,10,10,10,0,0,2
"DK Lillee ",1972,1983,63,63,10,10,10,0,0,2
"DR Lockhart ",2006,2010,14,14,10,10,1,9,0,3
"CR Matthews ",1991,1997,56,55,10,10,10,0,0,2
"BJ McCarthy ",2016,2020,30,30,10,10,10,0,0,2
"Mohammad Salman ",2011,2011,7,7,10,8,0,8,2,4
"DS Mohanty ",1997,2001,45,44,10,10,10,0,0,2
"Muhammad Usman ",2016,2020,33,33,10,10,10,0,0,3
"KMA Paul ",2018,2020,19,19,10,10,10,0,0,2
"Saleem Elahi ",1995,2004,48,47,10,10,10,0,0,2
"Shabbir Ahmed ",1999,2005,32,32,10,10,10,0,0,2
"Simi Singh ",2017,2020,18,18,10,10,10,0,0,2
"Tauseef Ahmed ",1982,1990,70,68,10,10,10,0,0,1
"KL Tucker ",2006,2007,12,12,10,9,1,8,1,4
"AC Waller ",1987,1997,39,38,10,10,10,0,0,2
"KD Walters ",1971,1981,28,28,10,10,10,0,0,3
"CAK Walton ",2009,2017,9,9,10,9,3,6,1,4
"MH Yardy ",2006,2011,28,28,10,10,10,0,0,2
"Yashpal Sharma ",1978,1985,42,42,10,10,10,0,0,1
"CJA Amini ",2014,2019,15,15,9,9,9,0,0,1
"HS Baidwan ",2008,2014,32,32,9,9,9,0,0,1
"HMCM Bandara ",2006,2010,31,30,9,9,9,0,0,3
"SJ Benn ",2008,2016,47,46,9,9,9,0,0,1
"NT Broom ",2009,2017,39,39,9,9,9,0,0,2
"AR Caddick ",1993,2003,54,53,9,9,9,0,0,2
"LOB Cann ",2006,2009,26,26,9,9,9,0,0,2
"PP Chawla ",2007,2011,25,25,9,9,9,0,0,3
"N Deonarine ",2005,2015,31,31,9,9,9,0,0,2
"SI de Saram ",1999,2001,15,15,9,9,9,0,0,2
"MA Ealham ",1996,2001,64,63,9,9,9,0,0,1
"S Elworthy ",1998,2002,39,38,9,9,9,0,0,3
"ZE Green ",2019,2020,8,8,9,7,0,7,2,5
"Hashmatullah Shahidi ",2013,2019,39,38,9,9,9,0,0,1
"AS Joseph ",2016,2020,28,27,9,9,9,0,0,2
"IA Karim ",2011,2014,9,9,9,8,3,5,1,2
"CM Kuggeleijn ",1988,1989,16,16,9,9,9,0,0,2
"NC McGarrell ",1998,2001,17,17,9,9,9,0,0,2
"RD McCann ",2010,2010,8,8,9,9,0,9,0,3
"SS McKechnie ",2017,2018,8,8,9,8,1,7,1,4
"Mohammad Wasim ",1996,2000,25,25,9,9,9,0,0,2
"CH Morris ",2013,2019,42,40,9,9,9,0,0,1
"T Mupariwa ",2004,2016,40,40,9,9,9,0,0,1
"Nizakat Khan ",2014,2018,20,20,9,9,9,0,0,2
"SJ Palframan ",1996,1996,7,7,9,9,0,9,0,3
"RR Pant ",2018,2020,16,16,9,8,4,4,1,2
"T Panyangara ",2004,2016,65,65,9,9,9,0,0,2
"BP Patterson ",1986,1993,59,58,9,9,9,0,0,1
"N Pooran ",2019,2020,25,24,9,8,7,1,1,2
"AD Poynter ",2008,2014,19,18,9,9,9,0,0,2
"Rajin Saleh ",2003,2006,43,43,9,9,9,0,0,2
"GM Ritchie ",1982,1987,44,44,9,9,9,0,0,2
"AM Samad ",2003,2009,27,26,9,9,9,0,0,2
"MJ Slater ",1993,1997,42,42,9,9,9,0,0,2
"RS Sodhi ",2000,2002,18,18,9,9,9,0,0,2
"Sohaib Maqsood ",2013,2016,26,26,9,9,9,0,0,2
"Sohrawordi Shuvo ",2010,2011,17,17,9,9,9,0,0,2
"Suraj Kumar ",2019,2020,11,11,9,9,0,9,0,2
"Taufeeq Umar ",2001,2011,22,22,9,9,9,0,0,1
"JR Thomson ",1975,1985,50,50,9,9,9,0,0,2
"LL Tsotsobe ",2009,2013,61,60,9,9,9,0,0,2
"JJ Tucker ",2006,2009,26,26,9,9,9,0,0,2
"HE van der Dussen ",2019,2020,21,19,9,9,9,0,0,2
"JNT Vare ",2014,2018,9,9,9,6,0,6,3,3
"M Vijay ",2010,2015,17,17,9,9,9,0,0,2
"W Watson ",1986,1994,61,61,9,9,9,0,0,1
"AR Adams ",2001,2007,42,41,8,8,8,0,0,2
"Akram Khan ",1988,2003,44,44,8,8,8,0,0,2
"Amjad Javed ",2008,2017,15,15,8,8,8,0,0,1
"Azhar Ali ",2011,2018,53,52,8,8,8,0,0,1
"GS Ballance ",2013,2015,16,16,8,8,8,0,0,2
"D Bau ",2016,2017,10,10,8,6,1,5,2,3
"S Bau ",2016,2019,21,21,8,8,8,0,0,1
"ID Blackwell ",2002,2006,34,34,8,8,8,0,0,2
"JAR Blain ",1999,2009,33,32,8,8,8,0,0,1
"MG Burgess ",1973,1981,26,26,8,8,8,0,0,2
"RP Burl ",2017,2019,18,18,8,8,8,0,0,2
"IG Butler ",2002,2010,26,25,8,8,8,0,0,2
"TM Chappell ",1980,1983,20,20,8,8,8,0,0,2
"FRJ Coleman ",2013,2015,16,15,8,8,8,0,0,3
"PT Collins ",1999,2005,30,30,8,8,8,0,0,2
"MD Dai ",2014,2018,18,18,8,8,8,0,0,2
"SM Davies ",2009,2011,8,8,8,8,0,8,0,2
"S Dhaniram ",2006,2010,44,43,8,8,8,0,0,1
"Enamul Haque jnr ",2005,2009,10,10,8,8,8,0,0,2
"AC Evans ",2009,2019,36,35,8,8,8,0,0,1
"ADS Fletcher ",2008,2016,25,25,8,5,3,2,3,3
"Hannan Sarkar ",2002,2004,20,20,8,8,6,2,0,2
"RM Hogg ",1979,1985,71,69,8,8,8,0,0,1
"RIC Holder ",1993,1997,37,37,8,8,8,0,0,3
"RK Illingworth ",1991,1996,25,25,8,8,8,0,0,2
"SS Iyer ",2017,2020,18,18,8,8,8,0,0,2
"BP Julian ",1993,1999,25,25,8,8,8,0,0,2
"Junaid Khan ",2011,2019,76,76,8,8,8,0,0,1
"AI Kallicharran ",1973,1981,31,31,8,8,8,0,0,2
"SC Khanna ",1979,1984,10,9,8,4,0,4,4,3
"GF Labrooy ",1986,1992,44,44,8,8,8,0,0,1
"W Larkins ",1979,1991,25,25,8,8,8,0,0,1
"NAM McLean ",1996,2003,45,45,8,8,8,0,0,2
"Manjural Islam ",1999,2003,34,34,8,8,8,0,0,1
"VJ Marks ",1980,1988,34,34,8,8,8,0,0,1
"Mirwais Ashraf ",2009,2016,46,45,8,8,8,0,0,2
"Mohammad Akram ",1995,2000,23,21,8,8,8,0,0,2
"Mohammad Amir ",2009,2019,61,60,8,8,8,0,0,2
"S Mukuddem ",2006,2007,20,20,8,8,8,0,0,1
"AD Mullally ",1996,2001,50,49,8,8,8,0,0,2
"L Ngidi ",2018,2020,26,26,8,8,8,0,0,2
"CM Old ",1973,1981,32,32,8,8,8,0,0,2
"DR Parry ",1978,1980,6,6,8,8,8,0,0,2
"KR Pushpakumara ",1994,1999,31,31,8,8,8,0,0,3
"EC Rainsford ",2004,2010,39,39,8,8,8,0,0,2
"SLV Raju ",1990,1996,53,52,8,8,8,0,0,1
"MR Ramprakash ",1991,2001,18,18,8,8,8,0,0,2
"MJR Rindel ",1994,1999,22,22,8,8,8,0,0,2
"IH Romaine ",2006,2009,35,35,8,8,8,0,0,2
