"","Player","Innings","Runs","BallsFaced","Hundreds"
"663","DR Pringle ",30,425,616,0
"664","MN van Wyk ",17,425,617,0
"665","AK Sharma ",27,424,469,0
"666","RC Russell ",31,423,638,0
"667","AS Hansra ",22,421,725,0
"668","S Prasanna ",37,421,445,0
"669","SMA Priyanjan ",20,420,522,0
"670","AR Adams ",34,419,417,0
"671","SR Waters ",20,419,751,0
"672","Aaron Jones ",13,416,646,0
"673","CO Browne ",32,415,590,0
"674","Farhad Reza ",31,412,636,0
"675","Usman Ghani ",15,411,520,1
"676","GB Brent ",54,408,698,0
"677","CB Lambert ",12,407,540,1
"678","RW Price ",59,406,701,0
"679","IR Bishop ",44,405,776,0
"680","EA Brandes ",41,404,448,0
"681","ID Blackwell ",29,403,465,0
"682","F Mutizwa ",15,403,502,0
"683","JP Bray ",15,401,594,2
"684","RG de Alwis ",27,401,512,0
"685","S Madan Lal ",35,401,645,0
"686","TBM de Leede ",25,400,628,0
"687","WS Jayantha ",17,400,530,0
"688","Mushtaq Ahmed ",76,399,698,0
"689","Sohail Tanvir ",40,399,458,0
"690","DR Chumney ",21,397,595,0
"691","Mohammad Naveed ",34,397,323,0
"692","IA Karim ",9,396,522,2
"693","AB Barath ",14,394,612,1
"694","Shoaib Akhtar ",84,394,538,0
"695","Mehidy Hasan Miraz ",26,393,508,0
"696","T Thushara ",27,392,424,0
"697","PJ Ongondo ",62,391,621,0
"698","Mirwais Ashraf ",38,387,543,0
"699","AF Giles ",35,385,551,0
"700","Hannan Sarkar ",20,383,713,0
"701","Sadiq Mohammad ",19,383,755,0
"702","MH Dekker ",22,379,798,0
"703","DM Wellham ",17,379,699,0
"704","S Bau ",21,378,602,0
"705","U Bhatti ",30,378,513,0
"706","GF Lawson ",52,378,500,0
"707","MR Ramprakash ",18,376,544,0
"708","Al Sahariar ",29,374,709,0
"709","CC Lewis ",40,374,459,0
"710","RR Pant ",14,374,361,0
"711","SMH Kirmani ",31,373,616,0
"712","DS de Silva ",29,371,691,0
"713","MA Starc ",51,371,424,0
"714","S Chattergoon ",17,370,615,0
"715","PJ Forrest ",14,368,561,1
"716","DW Steyn ",51,365,562,0
"717","WM Darling ",18,363,679,0
"718","Mohammad Amir ",30,363,444,0
"719","SP Narine ",45,363,441,0
"720","SS Karim ",27,362,560,0
"721","R Rampaul ",40,362,472,0
"722","Shahriar Hossain ",19,362,682,0
"723","Asif Ali ",14,361,280,0
"724","DG Brownlie ",15,361,486,0
"725","Hazratullah Zazai ",16,361,409,0
"726","WK McCallan ",28,361,419,0
"727","RC Irani ",30,360,549,0
"728","Mushfiqur Rahman ",25,360,690,0
"729","BJ Patel ",25,360,736,0
"730","Chirag Suri ",17,355,635,0
"731","AD Brown ",16,354,427,1
"732","ADS Fletcher ",25,354,549,0
"733","Nasir Jamal ",14,352,537,0
"734","Wajahatullah Wasti ",15,349,713,0
"735","Zahid Fazal ",18,348,584,0
"736","RDB Croft ",36,345,519,0
"737","Ashfaq Ahmed ",16,344,387,0
"738","GP Wickramasinghe ",64,344,543,0
"739","DT Tiripano ",25,343,527,0
"740","DNT Zoysa ",47,343,358,0
"741","HH Kanitkar ",27,339,512,0
"742","M Vijay ",16,339,506,0
"743","BE Congdon ",9,338,472,1
"744","CM Old ",25,338,401,0
"745","Shadab Khan ",22,337,491,0
"746","MG Burgess ",20,336,515,0
"747","NM Hauritz ",32,336,349,0
"748","SD Outerbridge ",23,336,612,0
"749","Tapash Baisya ",41,336,576,0
"750","T Bavuma ",6,335,363,1
"751","SS Pathirana ",14,332,383,0
"752","KA Edwards ",16,331,494,1
"753","Manjural Islam Rana ",21,331,668,0
"754","S Mukuddem ",18,331,650,0
"755","Adnan Mufti ",16,330,409,0
"756","Asif Iqbal ",8,330,466,0
"757","ZE Surkari ",22,328,656,0
"758","DJ Capel ",19,327,479,0
"759","MH Yardy ",24,326,472,0
"760","ML Nkala ",35,324,526,0
"761","Saeed Ajmal ",70,324,535,0
"762","RP Snell ",28,322,330,0
"763","KJJ van Noortwijk ",9,322,428,1
"764","Anwar Ali ",16,321,367,0
"765","CA Walsh ",79,321,451,0
"766","RB McCosker ",14,320,623,0
"767","DR Brown ",24,319,481,0
"768","HP Rinke ",18,317,378,0
"769","P Khadka ",10,315,398,1
"770","Faisal Iqbal ",16,314,519,1
"771","NAM McLean ",34,314,383,0
"772","Mohammad Sami ",46,314,490,0
"773","B Wood ",12,314,647,0
"774","VV Morea ",13,313,460,0
"775","RC Fredericks ",12,311,440,1
"776","BR Hartland ",16,311,623,0
"777","N Chopra ",26,310,498,0
"778","BC Hollioake ",17,309,381,0
"779","Nafees Iqbal ",16,309,568,0
"780","KAJ Roach ",57,308,576,0
"781","Ihsanullah ",16,307,440,0
"782","DM Benkenstein ",20,305,463,0
"783","M Labuschagne ",6,305,323,1
"784","TK Musakanda ",15,304,382,0
"785","LE Bosman ",12,301,305,0
"786","CMW Read ",24,300,410,0
"787","JP Kotze ",8,299,337,1
"788","WKM Benjamin ",52,298,406,0
"789","GS Ballance ",15,297,443,0
"790","PA Nixon ",18,297,347,0
"791","Zahoor Elahi ",14,297,507,0
"792","CJA Amini ",15,296,430,0
"793","DN Crookes ",23,296,412,0
"794","AR McBrine ",28,296,413,0
"795","AJ Pycroft ",19,295,560,0
"796","DR Tuffey ",52,295,372,0
"797","DL Murray ",17,294,468,0
"798","SJ Myburgh ",13,294,339,0
"799","SE Bond ",40,292,384,0
"800","P Kumar ",33,292,331,0
"801","SM Sharif ",33,292,394,0
"802","Tanwir Afzal ",19,292,255,0
"803","RN Lewis ",21,291,367,0
"804","DA Reeve ",21,291,389,0
"805","Mohammad Saifuddin ",13,290,337,0
"806","CS Pandit ",23,290,400,0
"807","Sanwar Hossain ",27,290,597,0
"808","SMSM Senanayake ",33,290,311,0
"809","JN Gillespie ",39,289,367,0
"810","IDR Bradshaw ",34,287,480,0
"811","KM Curran ",11,287,430,0
"812","LG Howell ",12,287,388,0
"813","MD Patel ",13,287,439,0
"814","MK Tiwary ",12,287,403,1
"815","Ahmed Raza ",26,285,503,0
"816","D Lloyd ",8,285,526,1
"817","VJ Marks ",24,285,434,0
"818","JAR Blain ",25,284,517,0
"819","NO Miller ",27,284,359,0
"820","LP van Troost ",20,284,456,0
"821","A Dananjaya ",27,283,411,0
"822","MA Holding ",42,282,377,0
"823","MA Jones ",8,281,401,0
"824","Hasan Ali ",29,280,247,0
"825","S Randiv ",18,280,382,0
"826","CL King ",14,280,267,0
"827","RS Sodhi ",14,280,381,0
"828","DJ Willey ",27,279,339,0
"829","KC Brathwaite ",10,278,483,0
"830","JE Taylor ",42,278,323,0
"831","AV Vadher ",16,278,512,0
"832","Mehrab Hossain jnr ",16,276,642,0
"833","JM Anderson ",79,273,561,0
"834","DT Christian ",18,273,307,0
"835","GH Worker ",10,272,379,0
"836","SW Billings ",12,271,298,0
"837","JW Hastings ",21,271,273,0
"838","Umar Amin ",16,271,392,0
"839","AM Bacher ",13,270,469,0
"840","Jahurul Islam ",13,270,371,0
"841","KBJ Azad ",21,269,400,0
"842","AD Gaekwad ",14,269,509,0
"843","AW Greig ",19,269,378,0
"844","M Morkel ",47,268,354,0
"845","Aaqib Javed ",51,267,456,0
"846","CG Williams ",8,267,324,1
"847","Shamsur Rahman ",10,266,350,0
"848","CA Soper ",19,265,496,0
"849","JM Vince ",11,265,299,0
"850","Afsar Zazai ",16,264,488,0
"851","MH Denness ",11,264,417,0
"852","S Jyoti ",13,264,442,1
"853","SP Patil ",12,263,404,0
"854","HJW Gardiner ",11,262,396,0
"855","Naved Latif ",11,262,417,1
"856","Aizaz Khan ",15,260,374,0
"857","PJ Cummins ",40,260,355,0
"858","K Rabada ",28,259,333,0
"859","KJ Wadsworth ",10,258,334,1
"860","ML Udawatte ",9,257,383,0
"861","SS Dighe ",17,256,421,0
"862","R Edwards ",8,255,349,0
"863","AD Poynter ",16,255,412,0
"864","N Vanua ",20,254,289,0
"865","S Ranatunga ",11,253,526,0
"866","Zeeshan Maqsood ",11,253,327,1
"867","IP Butchart ",16,252,395,0
"868","NM Coulter-Nile ",21,252,262,0
"869","J Edness ",11,252,403,0
"870","JFM Morrison ",15,252,472,0
"871","HA Varaiya ",38,252,489,0
"872","JJ Atkinson ",9,250,398,0
"873","JAH Marshall ",10,250,313,1
"874","CT Radley ",4,250,367,1
"875","AR Caddick ",38,249,395,0
"876","GF Labrooy ",36,249,350,0
"877","JD Campbell ",5,248,214,1
"878","JM Parker ",20,248,403,0
"879","RB Reid ",9,248,448,0
"880","RH Vance ",8,248,481,0
"881","MA Suji ",52,247,526,0
"882","A Turner ",6,247,309,1
"883","K Doriga ",13,246,388,0
"884","Khawar Ali ",11,245,442,0
"885","AD Mascarenhas ",13,245,257,0
"886","SM Davies ",8,244,231,0
"887","IG Holland ",8,244,319,0
"888","RAS Lakmal ",48,244,404,0
"889","Qaiser Ali ",17,244,383,0
"890","RP Burl ",15,243,357,0
"891","BP Patel ",9,243,399,0
"892","PR Downton ",20,242,358,0
"893","Hasan Raza ",13,242,480,0
"894","Simi Singh ",17,242,412,0
"895","MJ Di Venuto ",9,241,281,0
"896","GD Drummond ",20,240,262,0
"897","DK Lillee ",34,240,320,0
"898","CM Wright ",18,240,351,0
"899","Amjad Javed ",13,239,267,0
"900","CRD Fernando ",61,239,392,0
"901","J Garner ",41,239,360,0
"902","T Panyangara ",49,239,463,0
"903","KJ Arnott ",12,238,491,0
"904","DC Thomas ",19,238,364,0
"905","NS Poonia ",21,237,377,0
"906","Enamul Haque ",26,236,479,0
"907","GJ Hopkins ",17,236,311,0
"908","LM Jongwe ",19,236,303,0
"909","Khurram Manzoor ",7,236,375,0
"910","GR Codrington ",15,235,372,0
"911","JP Crawley ",12,235,408,0
"912","Iftikhar Anjum ",34,234,378,0
"913","Ikram Alikhil ",12,234,386,0
"914","P Mustard ",10,233,252,0
"915","AME Roberts ",32,231,357,0
"916","STR Binny ",11,230,246,0
"917","TM Chappell ",13,229,365,1
"918","SHU Karnain ",17,229,386,0
"919","TM Dowlin ",11,228,348,1
"920","DR Flynn ",17,228,360,0
"921","AY Karim ",24,228,375,0
"922","SR Thompson ",15,228,251,0
"923","M Dillon ",51,227,411,0
"924","MG Erasmus ",8,226,297,0
"925","AMJ Hilditch ",8,226,476,0
"926","Raza-ur-Rehman ",5,225,262,0
"927","BP Julian ",17,224,250,0
"928","KR Stackpole ",6,224,387,0
"929","JH Edrich ",6,223,325,0
"930","V Shankar ",8,223,246,0
"931","KM Jarvis ",33,222,337,0
"932","G Malla ",10,222,321,0
"933","BKV Prasad ",63,221,367,0
"934","Sarfraz Nawaz ",31,221,345,0
"935","Wasim Bari ",26,221,431,0
"936","HS Baidwan ",22,220,339,0
"937","DR Lockhart ",11,218,341,0
"938","Y Venugopal Rao ",11,218,363,0
"939","NR Kumar ",15,217,397,0
"940","FA Rose ",23,217,265,0
"941","EO Simons ",18,217,295,0
"942","V Dahiya ",15,216,267,0
"943","WK Lees ",24,215,307,0
"944","KMA Paul ",13,214,238,0
"945","Mohammad Nadeem ",8,212,341,0
"946","NO Perry ",16,212,340,0
"947","FRJ Coleman ",14,211,344,0
"948","MJ Henry ",21,211,211,0
"949","DJM Short ",8,211,269,0
"950","KS Lokuarachchi ",18,210,262,0
"951","CPH Ramanayake ",35,210,374,0
"952","Tahir Naqqash ",23,210,242,0
"953","Mushtaq Mohammad ",9,209,353,0
"954","MHW Papps ",6,207,342,0
"955","DL Bairstow ",20,206,390,0
"956","ZE Green ",8,206,268,0
"957","AR Berenger ",10,205,304,0
"958","PE McEwan ",15,204,346,0
"959","JA Rennie ",27,201,391,0
"960","APE Knott ",14,200,247,0
"961","NW Bracken ",35,199,282,0
"962","AJ Burger ",6,199,198,0
"963","Mohammad Nawaz (3) ",12,199,213,0
"964","Moin-ul-Atiq ",5,199,279,1
"965","M Ntini ",47,199,298,0
"966","TK Curran ",13,198,193,0
"967","Ijaz Faqih ",19,197,351,0
"968","GA Lamb ",14,197,381,0
"969","MR Swart ",11,197,272,0
"970","T Maruma ",18,196,330,0
"971","AP Devcich ",11,195,253,0
"972","GSNFG Jayasuriya ",10,195,273,0
"973","ASA Perera ",13,195,257,0
"974","Akram Raza ",25,193,310,0
"975","PJ Ingram ",7,193,238,0
"976","C Pringle ",41,193,256,0
"977","V Rathour ",7,193,331,0
"978","MM Iqbal ",12,192,360,0
"979","CJ Smith ",12,192,245,0
"980","Abid Ali ",4,191,196,1
"981","DAG Fletcher ",6,191,289,0
"982","TN Madondo ",13,191,331,0
"983","Mohammad Boota ",9,191,252,0
"984","Shabir Noori ",10,191,300,0
"985","PWH de Silva ",13,190,169,0
"986","CJ McKay ",31,190,337,0
"987","Mohammad Shahzad ",6,190,225,0
"988","I Udana ",15,190,200,0
"989","AC Agar ",11,189,212,0
"990","Usman Limbada ",11,189,284,0
"991","BAW Mendis ",42,188,263,0
"992","TJ Murtagh ",36,188,298,0
"993","SR Taylor ",12,186,278,0
"994","JA McCollum ",9,185,269,0
"995","T Mupariwa ",32,185,325,0
"996","SW Poynter ",19,185,278,0
"997","EAE Baptiste ",16,184,241,0
"998","JL Ontong ",16,184,267,0
"999","Saadat Ali ",7,184,341,0
"1000","Sohag Gazi ",16,184,213,0
"1001","SI de Saram ",13,183,270,0
"1002","SJ Benn ",30,182,240,0
"1003","Jatinder Singh ",11,182,342,0
"1004","AR Patel ",20,181,190,0
"1005","Suraj Kumar ",8,181,244,0
"1006","JR Thomson ",30,181,280,0
"1007","SB Bangar ",15,180,239,0
"1008","DG Cork ",21,180,271,0
"1009","WF Stelling ",11,180,272,0
"1010","B Warnapura ",12,180,415,0
"1011","Mazhar Hussain ",7,179,334,0
"1012","DM Richards ",7,179,251,0
"1013","CP Rizwan ",8,179,349,0
"1014","Sandeep Goud ",7,179,210,0
"1015","CT Mutombodzi ",13,177,234,0
"1016","SC Khanna ",10,176,265,0
"1017","TC Bastiampillai ",13,175,301,0
"1018","BR Blair ",14,174,253,0
"1019","GC Dyer ",13,174,227,0
"1020","MD Moxon ",8,174,325,0
"1021","GRJ Roope ",8,173,342,0
"1022","SB Doull ",27,172,188,0
"1023","Hasibul Hossain ",26,172,247,0
"1024","BN Cooper ",6,171,184,0
"1025","RP Lefebvre ",11,171,280,0
"1026","DK Morrison ",43,171,400,0
"1027","D Bau ",10,170,319,0
"1028","PS de Villiers ",36,170,218,0
"1029","CJ Jordan ",23,170,193,0
"1030","SW Masakadza ",11,170,177,0
"1031","J Smits ",19,169,360,0
"1032","RA Jones ",5,168,329,0
"1033","AF Milne ",17,168,165,0
"1034","AR Whittall ",35,168,310,0
"1035","RS Gabriel ",11,167,360,0
"1036","JE Morris ",8,167,225,0
"1037","Haroon Rasheed ",10,166,316,0
"1038","A McGrath ",12,166,353,0
"1039","DES Maxwell ",10,166,238,0
"1040","TL Chatara ",45,165,336,0
"1041","Khurram Chohan ",19,165,285,0
"1042","JF Kloppenburg ",6,165,265,1
"1043","MJ Lumb ",3,165,203,1
"1044","GAHM Parkar ",10,165,332,0
"1045","D Bishoo ",25,164,263,0
"1046","RB Kanhai ",5,164,273,0
"1047","RR Powar ",19,163,260,0
"1048","JT Smuts ",4,163,211,0
"1049","JC Tredwell ",25,163,242,0
"1050","MR Adair ",11,162,170,0
"1051","Faheem Ashraf ",15,162,195,0
"1052","MV Nagamootoo ",18,162,270,0
"1053","JTC Vaughan ",16,162,261,0
"1054","MS Chapman ",6,161,176,1
"1055","CD Cumming ",13,161,301,0
"1056","SKL de Silva ",6,161,193,0
"1057","SC Joseph ",11,161,302,0
"1058","E Schiferli ",22,161,218,0
"1059","HMCM Bandara ",17,160,224,0
"1060","PE Cantrell ",5,160,307,0
"1061","JL Langer ",7,160,180,0
"1062","K Weeraratne ",9,160,177,0
"1063","DS Airee ",10,159,231,0
"1064","Akshay Homraj ",8,159,223,0
"1065","SJ Baard ",8,159,286,0
"1066","TA Boult ",40,159,213,0
"1067","Saleem Raza ",6,159,173,0
"1068","AC Bedade ",10,158,183,0
"1069","DAJ Bracewell ",12,158,214,0
"1070","JJ Martin ",8,158,331,0
"1071","Imran Tahir ",36,157,225,0
"1072","MP Maynard ",12,156,225,0
"1073","B Bhandari ",6,155,228,0
"1074","K Birkenstock ",8,155,265,0
"1075","IJ Gould ",14,155,243,0
"1076","PM Seelaar ",24,155,244,0
"1077","GJ Cosier ",7,154,166,0
"1078","AM Ellis ",12,154,184,0
"1079","Mohammad Hussain ",12,154,136,0
"1080","CJ Richards ",16,154,264,0
"1081","RML Taylor ",14,154,172,0
"1082","C Zhuwao ",9,154,132,0
"1083","CPS Chauhan ",7,153,301,0
"1084","AN Ranasinghe ",8,153,147,0
"1085","Basil Hameed ",5,152,216,0
"1086","DW Fleming ",31,152,221,0
"1087","JN Malan ",3,152,166,1
"1088","MDK Perera ",12,152,199,0
"1089","AJ Redmond ",6,152,259,0
"1090","MW Alleyne ",8,151,255,0
"1091","J Anderson ",8,151,267,0
"1092","RS Gavaskar ",10,151,234,0
"1093","BF Hastings ",9,151,271,0
"1094","VD Philander ",19,151,213,0
"1095","RG Aga ",9,150,209,0
"1096","BB Chari ",11,150,332,0
"1097","NA Foster ",25,150,244,0
"1098","GD Barlow ",6,149,255,0
"1099","AR Khurasiya ",11,149,188,0
"1100","BJ McCarthy ",21,148,247,0
"1101","Khalid Latif ",5,147,228,0
"1102","Mohammed Shami ",36,147,180,0
"1103","Nazimuddin ",11,147,237,0
"1104","GM Strydom ",10,147,225,0
"1105","MRJ Watt ",17,147,202,0
"1106","D Williams ",23,147,242,0
"1107","JA Burns ",6,146,184,0
"1108","SE Findlay ",8,146,194,0
"1109","Sompal Kami ",6,146,164,0
"1110","JN Frylinck ",8,145,144,0
"1111","MP O'Dowd ",2,145,200,0
"1112","R Clarke ",13,144,232,0
"1113","DK Liyanage ",11,144,207,0
"1114","LN Onyango ",18,144,188,0
"1115","JJ Smit ",8,144,222,0
"1116","FA Allen ",12,143,130,0
"1117","Abdur Rehman ",23,142,263,0
"1118","CM Kuggeleijn ",11,142,223,0
"1119","D Langford-Smith ",17,142,133,0
"1120","MB Loye ",7,142,184,0
"1121","NK Patel ",7,142,173,0
"1122","LJ Tucker ",8,142,196,0
"1123","AJ Turner ",5,142,111,0
"1124","K Zondo ",5,142,224,0
"1125","DE Bernard ",12,141,219,0
"1126","ARC Fraser ",20,141,208,0
"1127","OD Gibson ",11,141,138,0
"1128","CR Matthews ",22,141,202,0
"1129","A Nehra ",46,141,246,0
"1130","Shahid Saeed ",10,141,316,0
"1131","VJ Wells ",7,141,253,0
"1132","AF Buurman ",11,140,179,0
"1133","HMRKB Herath ",30,140,217,0
"1134","Rubel Hossain ",52,140,249,0
"1135","JM Wiener ",7,140,324,0
"1136","MV Fleming ",10,139,137,0
"1137","KH MacLeay ",13,139,170,0
"1138","EAR de Silva ",20,138,241,0
"1139","GN Edwards ",6,138,191,0
"1140","KA Hope ",6,138,192,0
"1141","S Samarawickrama ",7,138,165,0
"1142","RJ Bailey ",4,137,196,0
"1143","RM Hogg ",35,137,217,0
"1144","APB Tennekoon ",4,137,207,0
"1145","ST Finn ",30,136,223,0
"1146","G Miller ",18,136,265,0
"1147","LG Rowe ",8,136,244,0
"1148","KD Shah ",10,136,238,0
"1149","R Vijay Bharadwaj ",9,136,194,0
"1150","SRD Wettimuny ",3,136,242,0
"1151","D Pretorius ",10,135,145,0
"1152","PA Browne ",5,134,179,0
"1153","TS Chisoro ",15,134,218,0
"1154","Krishna Chandran ",10,134,274,0
"1155","Shafiul Islam ",34,134,240,0
"1156","Arshad Khan ",29,133,217,0
"1157","MD Bell ",7,133,268,0
"1158","RJ Sidebottom ",18,133,194,0
"1159","RK Chauhan ",18,132,171,0
"1160","D Keulder ",6,132,220,0
"1161","Bazid Khan ",5,131,232,0
"1162","MSK Prasad ",11,131,225,0
"1163","Aarif Sheikh ",9,130,247,0
"1164","K Gore ",10,130,217,0
"1165","Sajid Ali ",12,130,293,0
"1166","RW Taylor ",17,130,312,0
"1167","RJ Trott ",10,130,249,0
"1168","TJ Zoehrer ",15,130,183,0
"1169","W Madhevere ",3,129,143,0
"1170","KTGD Prasad ",12,129,146,0
"1171","BOP Fernando ",6,128,203,0
"1172","FC Hayes ",6,128,235,0
"1173","DT Hondo ",29,127,249,0
"1174","TE Jesty ",10,127,182,0
"1175","A Nel ",22,127,166,0
"1176","Yasir Shah ",13,127,149,0
"1177","Dhiman Ghosh ",12,126,201,0
"1178","M Kartik ",14,126,178,0
"1179","TRO Payne ",4,126,240,0
"1180","CP Senanayake ",7,126,211,0
"1181","PA Jaques ",6,125,176,0
"1182","MC Sorensen ",8,125,155,0
"1183","AIC Dodemaide ",16,124,159,0
"1184","A Maregwede ",11,124,218,0
"1185","JA Samarasekera ",6,124,215,0
"1186","M van Jaarsveld ",7,124,169,0
"1187","LR Williams ",13,124,186,0
"1188","Ziaur Rahman ",11,124,110,0
"1189","CD de Lange ",10,123,200,0
"1190","BM Duckett ",3,123,152,0
"1191","GA Paterson ",10,123,327,0
"1192","J Arun Lal ",13,122,232,0
"1193","RL Bhudia ",5,122,124,0
"1194","CRM Douglas ",2,122,218,0
"1195","BA Parchment ",7,122,217,0
"1196","SK Gupta ",10,121,220,0
"1197","AS Joseph ",13,121,157,0
"1198","GJAF Aponso ",4,120,247,0
"1199","L Balaji ",16,120,152,0
"1200","Shahid Mahboob ",6,119,194,0
"1201","EJ Chatfield ",48,118,346,0
"1202","Kuldeep Yadav ",21,118,188,0
"1203","DBL Powell ",25,118,164,0
"1204","JN Snape ",7,118,173,0
"1205","V Yadav ",12,118,116,0
"1206","DH Brain ",18,117,171,0
"1207","NB Mahwire ",19,117,249,0
"1208","FL Reifer ",8,117,229,0
"1209","A Zampa ",24,117,179,0
"1210","Arshad Ayub ",17,116,162,0
"1211","Azam Khan ",5,116,177,0
"1212","PH Edmonds ",18,116,232,0
"1213","Hamza Tariq ",7,116,157,0
"1214","Tauseef Ahmed ",25,116,216,0
"1215","GK Khoda ",2,115,185,0
"1216","GD McGrath ",68,115,236,0
"1217","MA Carberry ",6,114,180,0
"1218","C Carter ",9,114,186,0
"1219","GR Dilley ",18,114,133,0
"1220","FM Engineer ",4,114,195,0
"1221","KD Ghavri ",16,114,194,0
"1222","MO Jones ",12,113,149,0
"1223","DL Maddy ",6,113,206,0
"1224","Naved Anjum ",12,113,154,0
"1225","MJ Cosgrove ",3,112,116,0
"1226","Haseeb Amjad ",6,112,85,0
"1227","DP Hyatt ",9,112,188,0
"1228","Hasan Jamil ",5,111,120,0
"1229","RDM Leverock ",19,111,382,0
"1230","Shan Masood ",5,111,145,0
"1231","RD Brown ",7,110,334,0
"1232","Rashid Khan ",15,110,173,0
"1233","MG Burmester ",7,109,207,0
"1234","CL Smith ",4,109,240,0
"1235","MJ McClenaghan ",14,108,138,0
"1236","SS McKechnie ",8,108,193,0
"1237","R Murray ",5,108,178,0
"1238","Hamid Hassan ",22,107,195,0
"1239","SJ Rhodes ",8,107,150,0
"1240","G Cook ",6,106,261,0
"1241","CR Foggo ",4,106,174,0
"1242","KO Meth ",8,106,183,0
"1243","Faruk Ahmed ",7,105,273,0
"1244","RK Kleinveldt ",7,105,124,0
"1245","TJ Laughlin ",5,105,160,0
"1246","PM Toohey ",4,105,133,0
"1247","CD Collymore ",35,104,261,0
"1248","D Elgar ",7,104,177,0
"1249","BP Nash ",7,104,141,0
"1250","RP Singh ",20,104,242,0
"1251","MW Priest ",14,103,225,0
"1252","G Toka ",6,103,190,0
"1253","JW Wilson ",6,103,112,0
"1254","Ehsan Khan ",12,102,228,0
"1255","Waqas Barkat ",10,102,184,0
"1256","D Wiese ",6,102,115,0
"1257","Arshad Laeeq ",6,101,215,0
"1258","XJ Doherty ",23,101,184,0
"1259","ERNS Fernando ",5,101,216,0
"1260","RO Hinds ",9,101,170,0
"1261","WR James ",8,101,255,0
"1262","TA Lloyd ",3,101,228,0
"1263","Tabarak Dar ",4,101,175,0
"1264","GB Troup ",12,101,140,0
"1265","K Verreynne ",3,101,120,0
"1266","S Amarnath ",3,100,119,0
"1267","S Elworthy ",16,100,160,0
"1268","AC Evans ",18,100,157,0
"1269","MG Hughes ",17,100,134,0
"1270","WB Rankin ",34,100,239,0
"1271","Shahzaib Hasan ",3,100,113,0
"1272","NMK Smith ",6,100,132,0
"1273","LV Garrick ",3,99,204,0
"1274","AFG Griffith ",8,99,177,0
"1275","Irfan Ahmed ",6,99,125,0
"1276","BC Rose ",2,99,210,0
"1277","Saad Nasim ",3,99,124,0
"1278","HR Walsh ",5,99,115,0
"1279","DCC Borden ",11,98,195,0
"1280","GJ Crocker ",5,98,105,0
"1281","EJ Gray ",7,98,230,0
"1282","LR Johnson ",6,98,175,0
"1283","I Maraj ",6,98,264,0
"1284","Mohammad Ishaq ",5,98,130,0
"1285","GC Small ",24,98,188,0
"1286","Sohrawordi Shuvo ",10,98,135,0
"1287","GM Ewing ",7,97,137,0
"1288","AL Kandappah ",2,97,156,0
"1289","RB Kerr ",4,97,159,0
"1290","BA King ",4,97,144,0
"1291","Manzoor Akhtar ",4,97,147,0
"1292","Azhar Hossain ",7,96,266,0
"1293","MP Bicknell ",6,96,104,0
"1294","RE van der Merwe ",8,96,95,0
"1295","Aamer Yamin ",3,95,96,0
"1296","D Daesrath ",3,95,137,0
"1297","AA Donald ",40,95,279,0
"1298","Mohammad Tauqir ",9,95,164,0
"1299","HK Olonga ",27,95,163,0
"1300","JS Patel ",15,95,162,0
"1301","KL Tucker ",12,95,246,0
"1302","PC de Silva ",7,94,112,0
"1303","VC Drakes ",17,94,174,0
"1304","SP Khakurel ",5,94,186,0
"1305","GFJ Liebenberg ",4,94,199,0
"1306","Mohammed Qasim ",5,94,188,0
"1307","S Abid Ali ",3,93,132,0
"1308","Kabir Ali ",9,93,108,0
"1309","PVD Chameera ",14,93,150,0
"1310","MR Gillespie ",14,93,118,0
"1311","TS Kamunhukamwe ",6,93,134,0
"1312","V Mehra ",6,92,202,0
"1313","JA Richardson ",8,92,104,0
"1314","BC Strang ",26,92,220,0
"1315","SJ Harmison ",25,91,141,0
"1316","JV Harris ",6,91,204,0
"1317","SG Peall ",15,91,150,0
"1318","DP Samaraweera ",4,91,169,0
"1319","RT Lyons ",14,90,147,0
"1320","GB Murgatroyd ",6,90,145,0
"1321","A Nao ",11,90,83,0
"1322","A Ratra ",8,90,127,0
"1323","Aamer Hanif ",4,89,128,0
"1324","Bilawal Bhatti ",7,89,75,0
"1325","JJ van der Wath ",8,89,70,0
"1326","V Aravind ",6,88,100,0
"1327","VB Chandrasekhar ",7,88,162,0
"1328","Raees Ahmadzai ",4,88,137,0
"1329","AJ Traicos ",17,88,175,0
"1330","Anil Dalpat ",10,87,136,0
"1331","H Hiri ",7,87,137,0
"1332","K Jethi ",3,87,79,0
"1333","RM Ellison ",12,86,110,0
"1334","BD Julien ",8,86,148,0
"1335","EH Mattis ",2,86,190,0
"1336","AD Mullally ",25,86,238,0
"1337","RK Paudel ",5,86,112,0
"1338","R Vinay Kumar ",13,86,146,0
"1339","BV Vitori ",14,86,90,0
"1340","W Watson ",24,86,180,0
"1341","PB Dassanayake ",10,85,142,0
"1342","PJC Hoffmann ",14,85,69,0
"1343","KAD Hurdle ",13,85,101,0
"1344","SI Mahmood ",15,85,101,0
"1345","KJ Barnett ",1,84,146,0
"1346","IG Butler ",13,84,154,0
"1347","SS Cottrell ",17,84,112,0
"1348","SF Dukanwala ",4,84,139,0
"1349","VB John ",19,84,152,0
"1350","GI Maiden ",6,84,133,0
"1351","Saqib Ali ",5,84,129,0
"1352","PP Shaw ",3,84,82,0
"1353","Younis Ahmed ",2,84,151,0
"1354","OAC Banks ",5,83,149,0
