"","Player","Innings","Runs","BallsFaced","Hundreds"
"147","HDRL Thirimanne ",106,3194,4419,4
"148","Umar Akmal ",110,3194,3712,2
"149","DI Gower ",111,3170,4218,7
"150","KR Rutherford ",115,3143,4888,2
"151","BJ Haddin ",115,3122,3706,2
"152","RJ Shastri ",128,3108,5089,4
"153","SM Gavaskar ",102,3092,4966,1
"154","DS Lehmann ",101,3078,3784,4
"155","GJ Bailey ",85,3044,3645,3
"156","V Sibanda ",126,2994,4716,2
"157","DJ Bravo ",141,2968,3606,2
"158","AM Rahane ",87,2962,3767,3
"159","HH Streak ",159,2943,4008,0
"160","JM Bairstow ",70,2923,2797,9
"161","DM Bravo ",108,2902,4132,3
"162","WW Hinds ",111,2880,4393,5
"163","GJ Maxwell ",100,2877,2332,1
"164","MDKJ Perera ",96,2825,3051,5
"165","IJL Trott ",65,2819,3658,4
"166","AL Logie ",133,2809,3801,1
"167","Sikandar Raza ",96,2801,3388,3
"168","AH Jones ",87,2784,4811,0
"169","Mohammad Nabi ",112,2782,3252,1
"170","SE Marsh ",72,2773,3406,7
"171","M Kaif ",110,2753,3822,2
"172","SV Carlisle ",107,2740,4325,3
"173","Mohammad Shahzad ",84,2727,3082,6
"174","Salman Butt ",78,2725,3572,8
"175","RG Twose ",81,2717,3603,1
"176","GJ Whittall ",142,2705,4011,0
"177","TWM Latham ",92,2696,3232,4
"178","RS Bopara ",109,2695,3462,1
"179","BA Stokes ",81,2682,2855,3
"180","Mudassar Nazar ",115,2653,5130,0
"181","EC Joyce ",77,2622,3630,6
"182","Ahmed Shehzad ",81,2605,3614,6
"183","NJ O'Brien ",101,2581,3638,1
"184","Zaheer Abbas ",60,2572,3033,7
"185","CR Ervine ",90,2571,3406,3
"186","AC Hudson ",88,2559,3960,2
"187","KA Pollard ",104,2496,2637,3
"188","VG Kambli ",97,2477,3443,2
"189","Imrul Kayes ",78,2434,3423,4
"190","JDP Oram ",116,2434,2810,1
"191","TM Odoyo ",119,2420,3438,1
"192","AD Hales ",67,2419,2527,6
"193","RA Smith ",70,2419,3473,4
"194","L Vincent ",99,2413,3453,3
"195","KJ Coetzer ",57,2409,2795,4
"196","CJ Chibhabha ",104,2399,3806,0
"197","GP Thorpe ",77,2380,3344,0
"198","Rahmat Shah ",69,2359,3366,4
"199","Asghar Afghan ",105,2356,3531,1
"200","VVS Laxman ",83,2338,3282,6
"201","RR Singh ",113,2336,3144,1
"202","N Hussain ",87,2332,3481,1
"203","GS Chappell ",72,2331,3079,3
"204","NLTC Perera ",131,2316,2057,1
