"","Player","Start","End","Matches","Innings","NotOuts","Runs","HighScore","HighScoreNotOut","Average","BallsFaced","StrikeRate","Hundreds","Fifties","Ducks"
"54","BRM Taylor ",2004,2020,196,195,15,6326,145,TRUE,35.1444444444444,8307,76.1526423498255,10,38,15
"55","Shakib Al Hasan ",2006,2019,206,194,27,6323,134,TRUE,37.8622754491018,7641,82.7509488286873,9,47,10
"56","RB Richardson ",1983,1996,224,217,30,6248,122,FALSE,33.4117647058824,9801,63.7485970819304,5,44,8
"57","Mushfiqur Rahim ",2006,2020,218,204,34,6174,144,FALSE,36.3176470588235,7794,79.2147806004619,7,38,10
"58","KS Williamson ",2010,2020,151,144,14,6173,148,FALSE,47.4846153846154,7551,81.7507614885446,13,39,5
"59","ML Hayden ",1993,2008,161,155,15,6133,181,TRUE,43.8071428571429,7767,78.9622762971546,10,36,9
"60","BB McCullum ",2002,2016,260,228,28,6083,166,FALSE,30.415,6312,96.371989860583,5,32,20
"61","DM Jones ",1984,1994,164,161,25,6068,145,FALSE,44.6176470588235,8362,72.5663716814159,7,46,6
"62","DC Boon ",1984,1995,181,177,16,5964,122,FALSE,37.0434782608696,9157,65.1305012558698,5,37,6
"63","JN Rhodes ",1992,2003,245,220,51,5935,121,FALSE,35.1183431952663,7336,80.90239912759,2,33,12
"64","JE Root ",2013,2020,146,137,21,5922,133,TRUE,51.051724137931,6775,87.409594095941,16,33,4
"65","Ramiz Raja ",1985,1997,198,197,15,5841,119,TRUE,32.0934065934066,9226,63.3102102753089,9,31,15
"66","AD Mathews ",2008,2020,217,187,48,5830,139,TRUE,41.9424460431655,6997,83.3214234672002,3,40,15
"67","RR Sarwan ",2000,2013,181,169,33,5804,120,TRUE,42.6764705882353,7663,75.7405715777111,5,38,8
"68","CL Hooper ",1987,2003,227,206,43,5761,113,TRUE,35.3435582822086,7517,76.6396168684316,7,29,7
"69","SR Watson ",2002,2015,190,169,27,5757,185,TRUE,40.5422535211268,6365,90.4477611940299,9,33,12
"70","S Dhawan ",2010,2020,136,133,7,5688,143,FALSE,45.1428571428571,6050,94.0165289256198,17,29,5
"71","H Masakadza ",2001,2019,209,208,4,5658,178,TRUE,27.7352941176471,7728,73.2142857142857,5,34,15
"72","SK Raina ",2005,2018,226,194,35,5615,116,TRUE,35.314465408805,6005,93.5054121565362,5,36,14
"73","MN Samuels ",2000,2018,207,196,26,5606,133,TRUE,32.9764705882353,7463,75.1172450757068,10,30,11
"74","WJ Cronje ",1992,2000,188,175,31,5565,112,FALSE,38.6458333333333,7277,76.4738216297925,2,39,8
"75","F du Plessis ",2011,2019,143,136,20,5507,185,FALSE,47.4741379310345,6215,88.6082059533387,12,35,3
"76","MEK Hussey ",2004,2012,185,157,44,5442,109,TRUE,48.1592920353982,6243,87.1696299855839,3,39,3
"77","IR Bell ",2004,2015,161,157,14,5416,141,FALSE,37.8741258741259,7019,77.1619888873059,4,35,6
"78","A Jadeja ",1992,2000,196,179,36,5359,119,FALSE,37.4755244755245,7678,69.7968220890857,6,30,10
"79","DR Martyn ",1992,2006,208,182,51,5346,144,TRUE,40.8091603053435,6877,77.7373854878581,5,37,10
"80","DA Warner ",2009,2020,123,121,6,5267,179,FALSE,45.8,5500,95.7636363636364,18,21,2
"81","G Gambhir ",2003,2013,147,143,11,5238,150,TRUE,39.6818181818182,6144,85.25390625,11,34,11
"82","ADR Campbell ",1992,2003,188,184,14,5185,131,TRUE,30.5,7834,66.1858565228491,7,30,11
"83","RS Mahanama ",1986,1999,213,198,23,5162,119,TRUE,29.4971428571429,8521,60.5797441614834,4,35,15
